良い	いい|よい	ii|yoi
休養	きゅうよう	kyuuyou
選別	せんべつ	sennbetsu
成約	せいやく	seiyaku
計量	けいりょう	keiryou
無休	むきゅう	mukyuu
大差	たいさ	taisa
電機	でんき	dennki
連打	れんだ	rennda
静止	せいし	seishi
着信	ちゃくしん	tyakushinn
所管	しょかん	shokann
熱意	ねつい	netsui
お便り	おたより	otayori
見失う	みうしなう|みうしのう	miushinau|miushinou
産学	さんがく	sanngaku
節目	ふしめ	fushime
原案	げんあん	gennann
飛行場	ひこうじょう	hikoujou
課す	かす	kasu
老後	ろうご	rougo
置ける	おける	okeru
建材	けんざい	kennzai
教官	きょうかん	kyoukann
改行	かいぎょう	kaigyou
地方自治体	ちほうじちたい	chihoujichitai
焼き肉	やきにく	yakiniku
女児	じょじ	joji
愛想	あいそ|あいそう	aiso|aisou
利回り	りまわり	rimawari
石材	せきざい	sekizai
散らし	ちらし	chirashi
低音	ていおん	teionn
飛び交う	とびかう|とびこう	tobikau|tobikou
照れ	てれ	tere
給湯	きゅうとう	kyuutou
戦記	せんき	sennki
愛らしい	あいらしい	airashii
試料	しりょう	shiryou
積み上げ	つみあげ	tsumiage
順に	じゅんに	junnni
試算	しさん	shisann
安置	あんち	annchi
結集	けっしゅう	kesshuu
別物	べつもの	betsumono
内陸	ないりく	nairiku
続行	ぞっこう	zokkou
熱気	ねっき	nekki
根底	こんてい	konntei
連行	れんこう	rennkou
最上階	さいじょうかい	saijoukai
無名	むめい	mumei
有給	ゆうきゅう	yuukyuu
位置付け	いちづけ	ichiduke
同然	どうぜん	douzenn
手芸	しゅげい	shugei
近付く	ちかづく	chikaduku
種族	しゅぞく	shuzoku
議題	ぎだい	gidai
節分	せつぶん	setsubunn
通達	つうたつ	tsuutatsu
子連れ	こづれ	kodure
好い	よい|こうい|すい|いい	yoi|koui|sui|ii
打席	だせき	daseki
天然記念物	てんねんきねんぶつ	tennnennkinennbutsu
差し入れ	さしいれ	sashiire
初対面	しょたいめん	shotaimenn
望遠鏡	ぼうえんきょう	bouennkyou
最良	さいりょう	sairyou
欠かす	かかす	kakasu
伝票	でんぴょう	dennpyou
失調	しっちょう	shittyou
不都合	ふつごう	futsugou
固体	こたい	kotai
教徒	きょうと	kyouto
主席	しゅせき	shuseki
単行本	たんこうぼん	tannkoubonn
労力	ろうりょく	rouryoku
残せる	のこせる	nokoseru
赤旗	あかはた	akahata
別れる	わかれる	wakareru
要員	よういん	youinn
単一	たんいつ	tannitsu
無力	むりょく	muryoku
高卒	こうそつ	kousotsu
各駅	かくえき	kakueki
社説	しゃせつ	shasetsu
変色	へんしょく	hennshoku
取り付ける	とりつける	toritsukeru
失望	しつぼう	shitsubou
歌唱	かしょう	kashou
念頭	ねんとう	nenntou
産後	さんご	sanngo
分量	ぶんりょう	bunnryou
自給	じきゅう	jikyuu
極意	ごくい	gokui
各所	かくしょ	kakusho
目覚まし	めざまし	mezamashi
産み	うみ	umi
原付	げんつき	genntsuki
すき焼き	すきやき	sukiyaki
参観	さんかん	sannkann
衣料	いりょう	iryou
不器用	ぶきよう	bukiyou
初頭	しょとう	shotou
改める	あらためる	aratameru
便器	べんき	bennki
好く	すく|よく	suku|yoku
競輪	けいりん	keirinn
最下位	さいかい	saikai
生き残り	いきのこり	ikinokori
連なる	つらなる	tsuranaru
部類	ぶるい	burui
底辺	ていへん	teihenn
心底	しんそこ|しんてい	shinnsoko|shinntei
大笑い	おおわらい	oowarai
使徒	しと	shito
気が付く	きがつく	kigatsuku
健やか	すこやか	sukoyaka
不味い	まずい|まじい	mazui|majii
無形	むけい	mukei
勝敗	しょうはい	shouhai
外伝	がいでん	gaidenn
兵隊	へいたい	heitai
改悪	かいあく	kaiaku
前菜	ぜんさい	zennsai
伝送	でんそう	dennsou
原産	げんさん	gennsann
試行	しこう	shikou
多量	たりょう	taryou
完走	かんそう	kannsou
不完全	ふかんぜん	fukannzenn
法事	ほうじ	houji
不服	ふふく	fufuku
戸建て	こだて	kodate
定量	ていりょう	teiryou
内祝い	うちいわい	uchiiwai
街路	がいろ	gairo
号泣	ごうきゅう	goukyuu
借地	しゃくち	shakuchi
低め	ひくめ	hikume
街角	まちかど	machikado
副業	ふくぎょう	fukugyou
養育	よういく	youiku
無地	むじ	muji
兆し	きざし	kizashi
灯油	とうゆ	touyu
器官	きかん	kikann
便乗	びんじょう	binnjou
参列	さんれつ	sannretsu
共鳴	きょうめい|ともなり	kyoumei|tomonari
笑い声	わらいごえ	waraigoe
無念	むねん|ぶねん	munenn|bunenn
治まる	おさまる	osamaru
信心	しんじん	shinnjinn
法学部	ほうがくぶ	hougakubu
地産	ちさん	chisann
民話	みんわ	minnwa
歩兵	ほへい|ふひょう	hohei|fuhyou
新選	しんせん	shinnsenn
知覚	ちかく	chikaku
入選	にゅうせん	nyuusenn
食塩	しょくえん	shokuenn
信用金庫	しんようきんこ	shinnyoukinnko
養生	ようじょう	youjou
海兵	かいへい	kaihei
文例	ぶんれい	bunnrei
折り紙	おりがみ	origami
熱湯	ねっとう|あつゆ	nettou|atsuyu
用法	ようほう	youhou
取付け	とりつけ	toritsuke
借入金	かりいれきん	kariirekinn
酒類	しゅるい	shurui
県議	けんぎ	kenngi
産科	さんか	sannka
信徒	しんと	shinnto
積立	つみたて	tsumitate
願い事	ねがいごと	negaigoto
民放	みんぽう	minnpou
本位	ほんい	honni
争点	そうてん	soutenn
散歩道	さんぽみち	sannpomichi
周回	しゅうかい	shuukai
気功	きこう	kikou
漁協	ぎょきょう	gyokyou
愛読	あいどく	aidoku
一変	いっぺん	ippenn
課する	かする	kasuru
後続	こうぞく	kouzoku
周遊	しゅうゆう	shuuyuu
借家	しゃくや|しゃっか|かりいえ	shakuya|shakka|kariie
差す	さす	sasu
借入	かりいれ	kariire
試飲	しいん	shiinn
焼鳥	やきとり	yakitori
伝道	でんどう	denndou
差し引く	さしひく	sashihiku
特大	とくだい	tokudai
空軍	くうぐん	kuugunn
仲間入り	なかまいり	nakamairi
付け根	つけね	tsukene
伝う	つたう|つとう	tsutau|tsutou
札所	ふだしょ	fudasho
力量	りきりょう	rikiryou
月極	つきぎめ	tsukigime
試みる	こころみる	kokoromiru
戦法	せんぽう	sennpou
開戦	かいせん	kaisenn
選曲	せんきょく	sennkyoku
特記	とっき	tokki
福利	ふくり	fukuri
極める	きわめる|きめる	kiwameru|kimeru
塩焼き	しおやき	shioyaki
助産	じょさん	josann
特訓	とっくん	tokkunn
観葉	かんよう	kannyou
祝祭日	しゅくさいじつ	shukusaijitsu
連ね	つらね	tsurane
人差し指	ひとさしゆび	hitosashiyubi
首輪	くびわ	kubiwa
飛来	ひらい	hirai
焼き上げる	やきあげる	yakiageru
民芸	みんげい	minngei
反戦	はんせん	hannsenn
必読	ひつどく	hitsudoku
電器	でんき	dennki
強固	きょうこ	kyouko
博す	はくす	hakusu
冷戦	れいせん	reisenn
配給	はいきゅう	haikyuu
放牧	ほうぼく	houboku
結束	けっそく|ゆいそく	kessoku|yuisoku
初歩	しょほ	shoho
取り残す	とりのこす	torinokosu
照合	しょうごう	shougou
目覚める	めざめる	mezameru
春季	しゅんき	shunnki
同好	どうこう	doukou
残暑	ざんしょ	zannsho
新生児	しんせいじ	shinnseiji
覚せい	かくせい	kakusei
動的	どうてき	douteki
飛び立つ	とびたつ	tobitatsu
消極	しょうきょく	shoukyoku
電灯	でんとう	denntou
労使	ろうし	roushi
末日	まつじつ	matsujitsu
泣かせる	なかせる	nakaseru
申し付ける	もうしつける	moushitsukeru
集大成	しゅうたいせい	shuutaisei
台無し	だいなし	dainashi
印刷物	いんさつぶつ	innsatsubutsu
空席	くうせき	kuuseki
楽観	らっかん	rakkann
記法	きほう	kihou
特番	とくばん	tokubann
笑わせる	わらわせる	warawaseru
生まれ変わり	うまれかわり	umarekawari
不細工	ぶさいく	busaiku
終末	しゅうまつ	shuumatsu
学位	がくい	gakui
議定	ぎじょう|ぎてい	gijou|gitei
特筆	とくひつ	tokuhitsu
兵力	へいりょく	heiryoku
流量	りゅうりょう	ryuuryou
白熱	はくねつ	hakunetsu
固形	こけい	kokei
清める	きよめる	kiyomeru
塩化	えんか	ennka
治める	おさめる	osameru
伝言	でんごん	denngonn
白衣	はくい|びゃくえ|びゃくい	hakui|byakue|byakui
お札	おさつ|おふだ	osatsu|ofuda
水害	すいがい	suigai
先住民	せんじゅうみん	sennjuuminn
位相	いそう	isou
連戦	れんせん	rennsenn
発令	はつれい	hatsurei
調印	ちょういん	tyouinn
用例	ようれい	yourei
果てしない	はてしない	hateshinai
散らす	ちらす	chirasu
治験	ちけん	chikenn
都民	とみん	tominn
察知	さっち	sacchi
農法	のうほう	nouhou
未然	みぜん	mizenn
気付け	きつけ|きづけ	kitsuke|kiduke
置物	おきもの	okimono
要点	ようてん	youtenn
極度	きょくど	kyokudo
無茶苦茶	むちゃくちゃ	mutyakutya
植え付け	うえつけ	uetsuke
悲観	ひかん	hikann
法学	ほうがく|ほうがっ	hougaku|hougaxtu
果たせる	はたせる	hataseru
挙がる	あがる	agaru
苦笑い	にがわらい|わらい	nigawarai|warai
秋季	しゅうき	shuuki
府立	ふりつ	furitsu
安静	あんせい	annsei
成り立ち	なりたち	naritachi
魚類	ぎょるい	gyorui
浴びせる	あびせる	abiseru
高熱	こうねつ	kounetsu
公然	こうぜん	kouzenn
日課	にっか	nikka
満面	まんめん	mannmenn
焼き物	やきもの	yakimono
求む	もとむ|とむ	motomu|tomu
焼失	しょうしつ	shoushitsu
時差	じさ	jisa
村民	そんみん	sonnminn
願書	がんしょ	gannsho
鳥類	ちょうるい	tyourui
極まりない	きわまりない	kiwamarinai
単調	たんちょう	tanntyou
主成分	しゅせいぶん	shuseibunn
不毛	ふもう	fumou
飛びつく	とびつく	tobitsuku
月例	げつれい	getsurei
各人	かくじん	kakujinn
選りすぐる	えりすぐる|よりすぐる	erisuguru|yorisuguru
湯治	とうじ	touji
海産物	かいさんぶつ	kaisannbutsu
梅雨入り	つゆいり	tsuyuiri
清い	きよい	kiyoi
飛び回る	とびまわる	tobimawaru
芽生え	めばえ	mebae
飛車	ひしゃ|びしゃ	hisha|bisha
真っ最中	まっさいちゅう	massaityuu
受付ける	うけつける	uketsukeru
最大手	さいおおて	saioote
海戦	かいせん	kaisenn
流産	りゅうざん	ryuuzann
固める	かためる|がためる	katameru|gatameru
失せる	うせる	useru
連投	れんとう	renntou
同氏	どうし	doushi
欠落	けつらく	ketsuraku
口径	こうけい	koukei
愛国心	あいこくしん	aikokushinn
建具	たてぐ	tategu
各位	かくい	kakui
祝賀	しゅくが	shukuga
飛散	ひさん|とびち	hisann|tobichi
病変	びょうへん	byouhenn
功労	こうろう	kourou
敗者	はいしゃ	haisha
群がる	むらがる	muragaru
初心	うぶ|しょしん	ubu|shoshinn
神官	しんかん	shinnkann
側近	そっきん	sokkinn
各部	かくぶ	kakubu
試験場	しけんじょう	shikennjou
包帯	ほうたい	houtai
例文	れいぶん	reibunn
所以	ゆえん	yuenn
うろ覚え	うろおぼえ	urooboe
特注	とくちゅう	tokutyuu
見栄え	みばえ	mibae
言い伝え	いいつたえ	iitsutae
寒冷	かんれい	kannrei
働かせる	はたらかせる	hatarakaseru
大敗	たいはい	taihai
小便	しょうべん	shoubenn
無機	むき	muki
改ざん	かいざん	kaizann
産出	さんしゅつ	sannshutsu
外周	がいしゅう	gaishuu
司祭	しさい	shisai
伝記	でんき	dennki
見覚え	みおぼえ	mioboe
英単語	えいたんご	eitanngo
電話機	でんわき	dennwaki
建前	たてまえ	tatemae
悪天候	あくてんこう	akutennkou
物置	ものおき	monooki
内戦	ないせん	naisenn
残雪	ざんせつ	zannsetsu
単元	たんげん	tanngenn
果肉	かにく	kaniku
電信	でんしん	dennshinn
業法	ぎょうほう	gyouhou
自伝	じでん	jidenn
散らばる	ちらばる	chirabaru
飛び散る	とびちる	tobichiru
不公平	ふこうへい	fukouhei
新法	しんぽう	shinnpou
同席	どうせき	douseki
刷新	さっしん	sasshinn
老ける	ふける	fukeru
積算	せきさん	sekisann
連隊	れんたい	renntai
県連	けんれん	kennrenn
高低	こうてい|たかひく	koutei|takahiku
冷える	ひえる|びえる	hieru|bieru
最早	もはや	mohaya
送受信	そうじゅしん	soujushinn
類する	るいする	ruisuru
発案	はつあん	hatsuann
事変	じへん	jihenn
平然と	へいぜんと	heizennto
加速度	かそくど	kasokudo
民意	みんい	minni
見極める	みきわめる	mikiwameru
不運	ふうん	fuunn
安産	あんざん	annzann
折れる	おれる	oreru
光熱	こうねつ	kounetsu
投信	とうしん	toushinn
根付く	ねつく|ねづく	netsuku|neduku
各店	かくてん	kakutenn
伝来	でんらい	dennrai
印字	いんじ	innji
極み	きわみ	kiwami
静けさ	しずけさ	shizukesa
季語	きご	kigo
低速	ていそく	teisoku
不覚	ふかく	fukaku
投機	とうき	touki
約定	やくじょう	yakujou
司る	つかさどる	tsukasadoru
結社	けっしゃ	kessha
清らか	きよらか	kiyoraka
雪景色	ゆきげしき	yukigeshiki
落差	らくさ	rakusa
同種	どうしゅ	doushu
重点的	じゅうてんてき	juutennteki
付帯	ふたい	futai
年初	ねんしょ	nennsho
力不足	ちからぶそく	chikarabusoku
熱帯魚	ねったいぎょ	nettaigyo
覚書	おぼえがき	oboegaki
列挙	れっきょ	rekkyo
無人島	むじんとう	mujinntou
祝い金	いわいきん	iwaikinn
大漁	たいりょう	tairyou
立て続け	たてつづけ	tatetsuduke
お産	おさん	osann
高官	こうかん	koukann
前置き	まえおき	maeoki
石器	せっき	sekki
月別	つきべつ	tsukibetsu
兆候	ちょうこう	tyoukou
折りたたむ	おりたたむ	oritatamu
牧草	ぼくそう	bokusou
試用	しよう	shiyou
極悪	ごくあく	gokuaku
無口	むくち	mukuchi
参上	さんじょう	sannjou
群落	ぐんらく	gunnraku
不順	ふじゅん	fujunn
置き去り	おきざり|おきさり	okizari|okisari
来季	らいき	raiki
長続き	ながつづき	nagatsuduki
変人	へんじん	hennjinn
不向き	ふむき	fumuki
好転	こうてん	koutenn
先入観	せんにゅうかん	sennnyuukann
未練	みれん	mirenn
照り	てり|でり	teri|deri
前兆	ぜんちょう	zenntyou
加味	かみ	kami
初年度	しょねんど	shonenndo
芸者	げいしゃ	geisha
集成	しゅうせい	shuusei
成虫	せいちゅう	seityuu
表札	ひょうさつ	hyousatsu
数種類	すうしゅるい	suushurui
体積	たいせき	taiseki
加水	かすい	kasui
積分	せきぶん|つみわけ	sekibunn|tsumiwake
漁場	ぎょじょう|ぎょば|りょうば	gyojou|gyoba|ryouba
入隊	にゅうたい	nyuutai
続投	ぞくとう	zokutou
土産物	みやげもの	miyagemono
切り札	きりふだ	kirifuda
成り行き	なりゆき	nariyuki
種まき	たねまき	tanemaki
同類	どうるい	dourui
新参	しんざん	shinnzann
実体験	じつたいけん|じったいけん	jitsutaikenn|jittaikenn
熱唱	ねっしょう	nesshou
無色	むしょく	mushoku
送別	そうべつ	soubetsu
変調	へんちょう	henntyou
静電気	せいでんき	seidennki
害する	がいする	gaisuru
泣かす	なかす	nakasu
無実	むじつ	mujitsu
人民元	じんみんげ|じんみんげん	jinnminnge|jinnminngenn
追い求める	おいもとめる	oimotomeru
品位	ひんい	hinni
世辞	せじ	seji
買い付け	かいつけ	kaitsuke
次官	じかん	jikann
山積み	やまづみ	yamadumi
借り入れ	かりいれ	kariire
交信	こうしん	koushinn
小隊	しょうたい	shoutai
前例	ぜんれい	zennrei
家老	かろう|がろう	karou|garou
小松菜	こまつな	komatsuna
飛び出る	とびでる	tobideru
変化球	へんかきゅう	hennkakyuu
原産地	げんさんち	gennsannchi
顔料	がんりょう	gannryou
冷ます	さます	samasu
最年少	さいねんしょう	sainennshou
両氏	りょうし	ryoushi
完敗	かんぱい	kannpai
官民	かんみん	kannminn
関門	かんもん	kannmonn
配付	はいふ	haifu
引き続く	ひきつづく	hikitsuduku
米兵	べいへい	beihei
無礼	ぶれい	burei
見付け	みつけ	mitsuke
新種	しんしゅ	shinnshu
法相	ほうしょう|ほっそう	houshou|hossou
焼成	しょうせい	shousei
刷り	すり|ずり	suri|zuri
給う	たまう|たもう	tamau|tamou
有機物	ゆうきぶつ	yuukibutsu
軍部	ぐんぶ	gunnbu
見積もる	みつもる	mitsumoru
一説	いっせつ	issetsu
心不全	しんふぜん	shinnfuzenn
血清	けっせい	kessei
天然石	てんねんせき	tennnennseki
どん底	どんぞこ	donnzoko
高周波	こうしゅうは	koushuuha
戦中	せんちゅう	senntyuu
量的	りょうてき	ryouteki
無残	むざん	muzann
各課	かくか	kakuka
自然体	しぜんたい	shizenntai
連作	れんさく	rennsaku
英字	えいじ	eiji
左利き	ひだりきき	hidarikiki
交戦	こうせん	kousenn
連れ出す	つれだす	tsuredasu
標語	ひょうご	hyougo
不発	ふはつ	fuhatsu
無害	むがい	mugai
別世界	べっせかい	bessekai
満期	まんき	mannki
不参加	ふさんか	fusannka
用量	ようりょう	youryou
特区	とっく	tokku
害す	がいす	gaisu
熱愛	ねつあい	netsuai
法科	ほうか	houka
特売	とくばい	tokubai
中隊	ちゅうたい	tyuutai
生き残れる	いきのこれる	ikinokoreru
不定	ふじょう|ふてい	fujou|futei
画材	がざい	gazai
最上級	さいじょうきゅう	saijoukyuu
別記	べっき	bekki
転機	てんき	tennki
借用	しゃくよう	shakuyou
熱戦	ねっせん	nessenn
競い合う	きそいあう|きそいおう	kisoiau|kisoiou
焼ける	やける	yakeru
氏神	うじがみ	ujigami
各界	かくかい|かっかい	kakukai|kakkai
軍用	ぐんよう	gunnyou
内包	ないほう	naihou
功徳	くどく|こうとく	kudoku|koutoku
見栄	みえ	mie
満室	まんしつ	mannshitsu
束ね	たばね|つかね	tabane|tsukane
欠場	けつじょう	ketsujou
周波	しゅうは	shuuha
変わり目	かわりめ	kawarime
満天	まんてん	manntenn
漁る	あさる|すなどる	asaru|sunadoru
学説	がくせつ	gakusetsu
番付	ばんづけ	bannduke
悲願	ひがん	higann
行く末	ゆくすえ	yukusue
飯店	はんてん	hanntenn
使節	しせつ	shisetsu
信ずる	しんずる	shinnzuru
一軍	いちぐん	ichigunn
待ち望む	まちのぞむ	machinozomu
失速	しっそく	shissoku
以南	いなん	inann
王位	おうい	oui
不通	ふつう	futsuu
古参	こさん	kosann
島民	とうみん	touminn
入念	にゅうねん	nyuunenn
気管	きかん	kikann
宮参り	みやまいり	miyamairi
大群	たいぐん	taigunn
言説	げんせつ	gennsetsu
底力	そこぢから	sokodikara
健気	けなげ	kenage
末っ子	すえっこ	suekko
地元民	じもとみん	jimotominn
訓令	くんれい	kunnrei
好機	こうき	kouki
前代未聞	ぜんだいみもん	zenndaimimonn
打楽器	だがっき	dagakki
定説	ていせつ	teisetsu
開票	かいひょう	kaihyou
貝類	かいるい	kairui
同省	どうしょう	doushou
束の間	つかのま	tsukanoma
初日の出	はつひので	hatsuhinode
失神	しっしん	shisshinn
水産物	すいさんぶつ	suisannbutsu
電位	でんい	denni
灯火	とうか|ともしび	touka|tomoshibi
印紙	いんし	innshi
失笑	しっしょう	shisshou
三位一体	さんみいったい	sannmiittai
無期	むき|むご	muki|mugo
器材	きざい	kizai
小料理	こりょうり	koryouri
名札	なふだ	nafuda
一苦労	ひとくろう	hitokurou
変り	かわり|がわり	kawari|gawari
軍国	ぐんこく	gunnkoku
森林浴	しんりんよく	shinnrinnyoku
然し	しかし	shikashi
結石	けっせき	kesseki
図案	ずあん	zuann
取り付く	とりつく	toritsuku
以北	いほく	ihoku
底面	ていめん	teimenn
要所	ようしょ	yousho
着席	ちゃくせき	tyakuseki
受話器	じゅわき	juwaki
不変	ふへん	fuhenn
列伝	れつでん	retsudenn
仲直り	なかなおり	nakanaori
連れ去る	つれさる	tsuresaru
地下街	ちかがい	chikagai
土建	どけん	dokenn
身辺	しんぺん	shinnpenn
実機	じっき	jikki
首席	しゅせき	shuseki
見せ付ける	みせつける	misetsukeru
赤飯	せきはん	sekihann
標題	ひょうだい	hyoudai
薬害	やくがい	yakugai
辞す	じす	jisu
通関	つうかん	tsuukann
歌合戦	うたがっせん	utagassenn
無心	むしん	mushinn
説法	せっぽう	seppou
全焼	ぜんしょう	zennshou
内輪	うちわ|ないりん	uchiwa|nairinn
泣く泣く	なくなく	nakunaku
兵法	ひょうほう|へいほう|びょうほう	hyouhou|heihou|byouhou
茶飯事	さはんじ	sahannji
初等	しょとう	shotou
線量	せんりょう	sennryou
法話	ほうわ	houwa
働きかける	はたらきかける	hatarakikakeru
実録	じつろく	jitsuroku
旅客機	りょかくき|りょかっき	ryokakuki|ryokakki
関す	かんす	kannsu
図録	ずろく	zuroku
氏子	うじこ	ujiko
変位	へんい	henni
泣き声	なきごえ	nakigoe
不平	ふへい	fuhei
号令	ごうれい	gourei
大隊	だいたい	daitai
念入り	ねんいり	nenniri
差し歯	さしば	sashiba
折り合い	おりあい	oriai
利口	りこう	rikou
愛せる	あいせる	aiseru
府民	ふみん	fuminn
ブラウン管	ぶらうんかん	buraunnkann
別売り	べつうり	betsuuri
取り置く	とりおく	torioku
祝辞	しゅくじ	shukuji
朝飯	あさめし|あさはん	asameshi|asahann
町議会	ちょうぎかい	tyougikai
飛び乗る	とびのる	tobinoru
農産	のうさん	nousann
左官	さかん|しゃかん	sakann|shakann
続落	ぞくらく	zokuraku
自愛	じあい	jiai
人道的	じんどうてき	jinndouteki
唱歌	しょうか|しょうが	shouka|shouga
出兵	しゅっぺい	shuppei
極小	きょくしょう|ごくしょう	kyokushou|gokushou
語録	ごろく	goroku
対極	たいきょく	taikyoku
信ぴょう	しんぴょう	shinnpyou
炭焼き	すみやき	sumiyaki
変速	へんそく	hennsoku
本願	ほんがん	honngann
手料理	てりょうり	teryouri
道案内	みちあんない	michiannnai
鉄板焼	てっぱんやき	teppannyaki
養分	ようぶん	youbunn
朝焼け	あさやけ	asayake
親類	しんるい	shinnrui
無法	むほう	muhou
飛び入り	とびいり	tobiiri
急変	きゅうへん	kyuuhenn
陸地	りくち	rikuchi
好投	こうとう	koutou
雨量	うりょう	uryou
主管	しゅかん	shukann
全景	ぜんけい	zennkei
水軍	すいぐん	suigunn
失明	しつめい	shitsumei
目玉焼き	めだまやき	medamayaki
花芽	かが|はなめ	kaga|haname
冷気	れいき	reiki
公民	こうみん	kouminn
順当	じゅんとう	junntou
愛し合う	あいしあう|あいしおう	aishiau|aishiou
草案	そうあん	souann
選書	せんしょ	sennsho
人選	じんせん	jinnsenn
特命	とくめい	tokumei
国内産	こくないさん	kokunaisann
帳票	ちょうひょう	tyouhyou
散りばめる	ちりばめる	chiribameru
病的	びょうてき	byouteki
答案	とうあん	touann
争議	そうぎ	sougi
試運転	しうんてん	shiunntenn
芸名	げいめい	geimei
軍服	ぐんぷく	gunnpuku
温浴	おんよく	onnyoku
時季	じき	jiki
信金	しんきん	shinnkinn
輪切り	わぎり	wagiri
極道	ごくどう	gokudou
残り少ない	のこりすくない	nokorisukunai
お仕置き	おしおき	oshioki
辞令	じれい	jirei
各局	かくきょく|かっきょく	kakukyoku|kakkyoku
群集	ぐんしゅう	gunnshuu
温熱	おんねつ	onnnetsu
未読	みどく	midoku
結び付ける	むすびつける	musubitsukeru
地底	ちてい	chitei
都議	とぎ	togi
的外れ	まとはずれ	matohazure
消灯	しょうとう	shoutou
進軍	しんぐん	shinngunn
省力	しょうりょく|しょうりき	shouryoku|shouriki
試薬	しやく	shiyaku
言い残す	いいのこす	iinokosu
大道芸	だいどうげい	daidougei
水利	すいり	suiri
灯す	ともす	tomosu
類語	るいご	ruigo
力説	りきせつ	rikisetsu
失言	しつげん	shitsugenn
散らかす	ちらかす	chirakasu
省ける	はぶける	habukeru
年老いる	としおいる	toshioiru
課外	かがい	kagai
中卒	ちゅうそつ	tyuusotsu
愛でる	めでる	mederu
標記	ひょうき	hyouki
治せる	なおせる	naoseru
競り	せり|ぜり	seri|zeri
商戦	しょうせん	shousenn
相成る	あいなる	ainaru
司教	しきょう	shikyou
社協	しゃきょう	shakyou
病害虫	びょうがいちゅう	byougaityuu
本戦	ほんせん	honnsenn
積み立て	つみたて	tsumitate
利上げ	りあげ	riage
共働き	ともばたらき	tomobataraki
化成	かせい	kasei
念じる	ねんじる	nennjiru
積める	つめる	tsumeru
心残り	こころのこり	kokoronokori
年産	ねんさん	nennsann
思い付く	おもいつく	omoitsuku
前輪	ぜんりん	zennrinn
各紙	かくし	kakushi
勇ましい	いさましい	isamashii
無気力	むきりょく	mukiryoku
不動明王	ふどうみょうおう	fudoumyouou
昨秋	さくしゅう	sakushuu
競泳	きょうえい	kyouei
金貨	きんか	kinnka
松明	たいまつ	taimatsu
不人気	ふにんき	funinnki
新約	しんやく	shinnyaku
向かい側	むかいがわ	mukaigawa
決別	けつべつ	ketsubetsu
花器	かき	kaki
付け足す	つけたす	tsuketasu
底上げ	そこあげ	sokoage
神器	じんぎ	jinngi
地熱	じねつ|ちねつ	jinetsu|chinetsu
高給	こうきゅう	koukyuu
全席	ぜんせき	zennseki
機長	きちょう	kityou
女官	じょかん|にょかん	jokann|nyokann
岩塩	がんえん	gannenn
笑い話	わらいばなし	waraibanashi
初雪	はつゆき	hatsuyuki
老年	ろうねん	rounenn
焼き魚	やきざかな	yakizakana
案じ	あんじ	annji
付け方	つけかた	tsukekata
同位	どうい	doui
受け付ける	うけつける	uketsukeru
他愛	たあい	taai
自給自足	じきゅうじそく	jikyuujisoku
改選	かいせん	kaisenn
散見	さんけん	sannkenn
湯量	ゆりょう	yuryou
所望	しょもう	shomou
方便	ほうべん|たずき|たつき	houbenn|tazuki|tatsuki
法輪	ほうりん|ぼうりん	hourinn|bourinn
不意打ち	ふいうち	fuiuchi
選対	せんたい	senntai
以西	いせい	isei
低木	ていぼく	teiboku
関所	せきしょ	sekisho
満車	まんしゃ	mannsha
静養	せいよう	seiyou
極細	ごくぼそ	gokuboso
説話	せつわ	setsuwa
大軍	たいぐん	taigunn
軍配	ぐんばい	gunnbai
散らかる	ちらかる	chirakaru
茶器	ちゃき	tyaki
府県	ふけん	fukenn
軍手	ぐんて	gunnte
後始末	あとしまつ	atoshimatsu
昨日今日	きのうきょう	kinoukyou
極太	ごくぶと	gokubuto
君達	きみたち	kimitachi
失念	しつねん	shitsunenn
無病	むびょう	mubyou
法王	ほうおう	houou
不死	ふし	fushi
管区	かんく	kannku
国軍	こくぐん	kokugunn
育英	いくえい	ikuei
単線	たんせん	tannsenn
省みる	かえりみる	kaerimiru
戦果	せんか	sennka
口説く	くどく	kudoku
議院	ぎいん	giinn
入管	にゅうかん	nyuukann
原典	げんてん	genntenn
初耳	はつみみ	hatsumimi
伝言板	でんごんばん	denngonnbann
原住民	げんじゅうみん	gennjuuminn
共学	きょうがく	kyougaku
赤信号	あかしんごう	akashinngou
美的	びてき	biteki
副題	ふくだい	fukudai
関係者	かんけいしゃ	kannkeisha
具体的	ぐたいてき	gutaiteki
管理者	かんりしゃ	kannrisha
管理人	かんりにん	kannrininn
利用者	りようしゃ	riyousha
参加者	さんかしゃ	sannkasha
積極的	せっきょくてき	sekkyokuteki
取引法	とりひきほう	torihikihou
労働者	ろうどうしゃ	roudousha
協議会	きょうぎかい	kyougikai
社会的	しゃかいてき	shakaiteki
商店街	しょうてんがい	shoutenngai
時間帯	じかんたい	jikanntai
最終的	さいしゅうてき	saishuuteki
米軍	べいぐん	beigunn
説明会	せつめいかい	setsumeikai
観光客	かんこうきゃく	kannkoukyaku
定期的	ていきてき	teikiteki
世界的	せかいてき	sekaiteki
全体的	ぜんたいてき	zenntaiteki
最大級	さいだいきゅう	saidaikyuu
記念日	きねんび	kinennbi
一時的	いちじてき	ichijiteki
各号	かくごう	kakugou
代表的	だいひょうてき	daihyouteki
最終日	さいしゅうび	saishuubi
学的	がくてき	gakuteki
回戦	かいせん	kaisenn
