情報	じょうほう	jouhou
益金	えききん	ekikinn
編曲	へんきょく	hennkyoku
複眼	ふくがん	fukugann
境地	きょうち	kyouchi
同額	どうがく	dougaku
後編	こうへん	kouhenn
情景	じょうけい	joukei
故人	こじん	kojinn
現物	げんぶつ	gennbutsu
住居	じゅうきょ|ずまい|すまい	juukyo|zumai|sumai
寄席	よせ	yose
実演	じつえん	jitsuenn
兵士	へいし	heishi
増長	ぞうちょう	zoutyou
市制	しせい	shisei
旧法	きゅうほう	kyuuhou
率先	そっせん	sossenn
採算	さいさん	saisann
会務	かいむ	kaimu
好適	こうてき	kouteki
事象	じしょう	jishou
復習	ふくしゅう	fukushuu
常設	じょうせつ	jousetsu
長居	ながい	nagai
転移	てんい	tenni
実益	じつえき	jitsueki
河童	かっぱ	kappa
財団	ざいだん	zaidann
米粉	こめこ|べいふん	komeko|beifunn
観賞	かんしょう	kannshou
墓所	はかしょ|はかどころ|ぼしょ|むしょ	hakasho|hakadokoro|bosho|musho
基因	きいん	kiinn
税別	ぜいべつ	zeibetsu
設営	せつえい	setsuei
画質	がしつ	gashitsu
木製	もくせい	mokusei
全編	ぜんぺん	zennpenn
良識	りょうしき	ryoushiki
打設	だせつ	dasetsu
紙版	かみはん	kamihann
眼前	がんぜん	gannzenn
厚意	こうい	koui
県政	けんせい	kennsei
代謝	たいしゃ	taisha
陽性	ようせい	yousei
不能	ふのう	funou
堂内	どうない	dounai
開基	かいき	kaiki
再選	さいせん	saisenn
酸化	さんか	sannka
条約	じょうやく	jouyaku
元祖	がんそ	gannso
体型	たいけい	taikei
肥料	ひりょう	hiryou
情勢	じょうせい	jousei
本性	ほんしょう|ほんせい	honnshou|honnsei
有志	ゆうし	yuushi
能開	のうかい	noukai
毒殺	どくさつ	dokusatsu
体格	たいかく	taikaku
世紀	せいき	seiki
慣例	かんれい	kannrei
理容	りよう	riyou
義歯	ぎし	gishi
老眼	ろうがん	rougann
薬効	やっこう	yakkou
主義	しゅぎ	shugi
本編	ほんぺん	honnpenn
引率	いんそつ	innsotsu
心情	しんじょう	shinnjou
賛美	さんび	sannbi
公営	こうえい	kouei
属国	ぞっこく	zokkoku
功罪	こうざい	kouzai
人脈	じんみゃく	jinnmyaku
別居	べっきょ	bekkyo
病態	びょうたい	byoutai
前編	ぜんぺん	zennpenn
文脈	ぶんみゃく	bunnmyaku
在留	ざいりゅう	zairyuu
支局	しきょく	shikyoku
衛星	えいせい	eisei
改編	かいへん	kaihenn
本堂	ほんどう	honndou
国益	こくえき	kokueki
過ぎる	すぎる|よぎる	sugiru|yogiru
確か	たしか	tashika
基づく	もとづく	motoduku
限り	かぎり	kagiri
示す	しめす	shimesu
増え	ふえ	fue
比べる	くらべる	kuraberu
可愛い	かわいい|かわい	kawaii|kawai
久しぶり	ひさしぶり	hisashiburi
素晴らしい	すばらしい	subarashii
殺す	ころす|ごろす	korosu|gorosu
過ごす	すごす	sugosu
限る	かぎる	kagiru
豊か	ゆたか	yutaka
常に	つねに	tsuneni
再び	ふたたび	futatabi
応じる	おうじる	oujiru
述べる	のべる	noberu
喜ぶ	よろこぶ	yorokobu
減る	へる|べる|める	heru|beru|meru
任せる	まかせる	makaseru
居る	いる|おる	iru|oru
得る	うる|える	uru|eru
禁じる	きんじる	kinnjiru
寄せ	よせ	yose
寄る	よる	yoru
喜び	よろこび	yorokobi
現れ	あらわれ	araware
慣れる	なれる	nareru
許す	ゆるす	yurusu
勢い	いきおい	ikioi
貸し	かし|がし	kashi|gashi
迷う	まよう	mayou
経つ	たつ	tatsu
判る	わかる	wakaru
囲む	かこむ	kakomu
増やす	ふやす	fuyasu
解る	わかる|ほどける	wakaru|hodokeru
ある程度	あるていど	aruteido
支え	ささえ|かえ|つかえ|つっかえ	sasae|kae|tsukae|tsukkae
防ぐ	ふせぐ	fusegu
張る	はる|ばる|ぱる	haru|baru|paru
設け	もうけ	mouke
備え	そなえ|ぞなえ	sonae|zonae
演じる	えんじる	ennjiru
取り寄せる	とりよせる	toriyoseru
効く	きく	kiku
保つ	たもつ|もつ	tamotsu|motsu
救う	すくう	sukuu
増える	ふえる	fueru
飼う	かう|がう|こう	kau|gau|kou
造り	つくり|づくり	tsukuri|dukuri
引っ張る	ひっぱる	hipparu
混ぜる	まぜる	mazeru
減らす	へらす	herasu
構う	かまう|かもう	kamau|kamou
何故か	なぜか	nazeka
余り	あまり	amari
応え	いらえ|こたえ|ごたえ	irae|kotae|gotae
似合う	にあう|におう	niau|niou
造る	つくる|づくる	tsukuru|dukuru
燃える	もえる	moeru
許し	ゆるし	yurushi
増し	まし|ぞうし	mashi|zoushi
解く	とく|ほどく	toku|hodoku
招く	まねく	maneku
移す	うつす	utsusu
張り	はり|ばり|ぱり	hari|bari|pari
築く	きずく|つく|づく	kizuku|tsuku|duku
立ち寄る	たちよる	tachiyoru
断る	ことわる	kotowaru
易い	やすい|やしい	yasui|yashii
導く	みちびく	michibiku
混む	こむ|ごむ	komu|gomu
務め	つとめ	tsutome
興味深い	きょうみぶかい	kyoumibukai
現れる	あらわれる	arawareru
支える	ささえる|つかえる|つっかえる	sasaeru|tsukaeru|tsukkaeru
仮に	かりに	karini
破る	やぶる|わる|やる	yaburu|waru|yaru
最寄り駅	もよりえき	moyorieki
採る	とる|どる	toru|doru
確かめる	たしかめる	tashikameru
混じる	こんじる|まじる	konnjiru|majiru
適す	てきす	tekisu
構え	かまえ|がまえ	kamae|gamae
移る	うつる	utsuru
謝る	あやまる	ayamaru
お断り	おことわり	okotowari
犯す	おかす	okasu
厚い	あつい|こうい|あちい	atsui|koui|achii
独り言	ひとりごと	hitorigoto
いい加減	いいかげん	iikagenn
見比べる	みくらべる	mikuraberu
年寄り	としより|どしより	toshiyori|doshiyori
在る	ある	aru
属する	ぞくする|しょくする	zokusuru|shokusuru
迷い	まよい	mayoi
お買い得	おかいどく	okaidoku
接す	せっす	sessu
救い	すくい	sukui
飼い主	かいぬし	kainushi
告げ	つげ	tsuge
許せる	ゆるせる	yuruseru
情けない	なさけない	nasakenai
過ごせる	すごせる	sugoseru
暴れ	あばれ	abare
余る	あまる	amaru
率いる	ひきいる	hikiiru
故に	ゆえに	yueni
営む	いとなむ	itonamu
務める	つとめる	tsutomeru
素早い	すばやい	subayai
お過ごし	おすごし	osugoshi
貯める	ためる	tameru
報じる	ほうじる	houjiru
測る	はかる	hakaru
解ける	とける|ほどける|どける	tokeru|hodokeru|dokeru
可愛らしい	かわいらしい	kawairashii
属す	ぞくす	zokusu
招き	まねき	maneki
接する	せっする	sessuru
貧しい	まずしい	mazushii
責め	せめ|ぜめ	seme|zeme
講じる	こうじる	koujiru
織る	おる	oru
留まる	とどまる|とまる|どまる	todomaru|tomaru|domaru
留め	とめ|とどめ|どめ	tome|todome|dome
因みに	ちなみに	chinamini
増す	ます	masu
現に	げんに	gennni
通り過ぎる	とおりすぎる	toorisugiru
貯まる	たまる	tamaru
設ける	もうける	moukeru
燃やす	もやす	moyasu
現す	あらわす	arawasu
厚み	あつみ	atsumi
告げる	つげる	tsugeru
破れ	やぶれ|やれ|われ	yabure|yare|ware
混ざる	まざる	mazaru
貸し出し	かしだし	kashidashi
応える	こたえる	kotaeru
編み	あみ	ami
絶える	たえる	taeru
移り	うつり	utsuri
気の毒	きのどく	kinodoku
損なう	そこなう	sokonau
独り	ひとり	hitori
近寄る	ちかよる	chikayoru
制す	せいす	seisu
費やす	ついやす	tsuiyasu
相応しい	ふさわしい	fusawashii
備える	そなえる	sonaeru
現われる	あらわれる	arawareru
在り方	ありかた	arikata
停める	とめる	tomeru
引き寄せる	ひきよせる	hikiyoseru
逆らう	さからう	sakarau
絶つ	たつ	tatsu
余りに	あまりに	amarini
昼過ぎ	ひるすぎ	hirusugi
際立つ	きわだつ	kiwadatsu
見慣れる	みなれる	minareru
最寄り	もより	moyori
則る	のっとる	nottoru
やむを得ない	やむをえない	yamuwoenai
略す	りゃくす	ryakusu
準じる	じゅんじる	junnjiru
格付け	かくづけ	kakuduke
有り得る	ありえる	arieru
快い	こころよい|いい|よい	kokoroyoi|ii|yoi
寄り道	よりみち	yorimichi
久しい	ひさしい	hisashii
冷え性	ひえしょう	hieshou
墓参り	はかまいり	hakamairi
お許し	おゆるし	oyurushi
眼差し	まなざし	manazashi
絶えず	たえず	taezu
読み解く	よみとく	yomitoku
貸す	かす|がす	kasu|gasu
編む	あむ	amu
寄せる	よせる	yoseru
可笑しい	おかしい	okashii
損ねる	そこねる	sokoneru
護る	まもる	mamoru
分厚い	ぶあつい|ぶあちい	buatsui|buachii
程よい	ほどよい	hodoyoi
張り付く	はりつく	haritsuku
たんぱく質	たんぱくしつ	tannpakushitsu
防げる	ふせげる	fusegeru
構える	かまえる	kamaeru
過ち	あやまち	ayamachi
断り	ことわり	kotowari
得する	とくする	tokusuru
資する	しする	shisuru
似合い	にあい	niai
険しい	けわしい	kewashii
任す	まかす	makasu
心構え	こころがまえ	kokorogamae
張り切る	はりきる	harikiru
営み	いとなみ	itonami
準ずる	じゅんずる	junnzuru
許可ない	きょかない	kyokanai
報う	むくう	mukuu
取り囲む	とりかこむ	torikakomu
取寄せる	とりよせる	toriyoseru
永い	ながい	nagai
志す	こころざす	kokorozasu
授かる	さずかる	sazukaru
義務付け	ぎむづけ	gimuduke
混ぜ合う	まぜあう	mazeau
見張る	みはる	miharu
暴く	あばく	abaku
備わる	そなわる	sonawaru
授ける	さづける|さずける	sadukeru|sazukeru
講ずる	こうずる	kouzuru
夢見る	ゆめみる	yumemiru
ろ過	ろか	roka
責める	せめる	semeru
解す	かいす|ほぐす|ほごす|ほつす|げす	kaisu|hogusu|hogosu|hotsusu|gesu
評す	ひょうす	hyousu
末永い	すえながい	suenagai
災い	わざわい	wazawai
お似合い	おにあい	oniai
義務づける	ぎむづける	gimudukeru
保てる	たもてる	tamoteru
格好いい	かっこういい	kakkouii
言い張る	いいはる	iiharu
総じて	そうじて	soujite
断つ	たつ|だつ	tatsu|datsu
過ぎ去る	すぎさる	sugisaru
断ち切る	たちきる	tachikiru
囲い	かこい|がこい	kakoi|gakoi
見張り	みはり	mihari
差し支える	さしつかえる	sashitsukaeru
潔い	いさぎよい	isagiyoi
それ程	それほど	sorehodo
手応え	てごたえ	tegotae
暴れる	あばれる	abareru
情け	なさけ	nasake
行き過ぎ	いきすぎ|ゆきすぎ	ikisugi|yukisugi
手造り	てづくり	tedukuri
慣らす	ならす	narasu
総て	すべて	subete
程遠い	ほどとおい	hodotooi
損する	そんする	sonnsuru
酸っぱい	すっぱい	suppai
喜ばしい	よろこばしい	yorokobashii
張り紙	はりがみ	harigami
耕す	たがやす	tagayasu
貸し切り	かしきり	kashikiri
導き出す	みちびきだす	michibikidasu
増やせる	ふやせる	fuyaseru
逆さ	さかさ	sakasa
移り変わり	うつりかわり	utsurikawari
囲う	かこう	kakou
無性に	むしょうに	mushouni
言い過ぎ	いいすぎ	iisugi
ご利益	ごりやく	goriyaku
かき混ぜる	かきまぜる	kakimazeru
人殺し	ひとごろし	hitogoroshi
基く	もとづく	motoduku
勢ぞろい	せいぞろい	seizoroi
因る	よる	yoru
印象深い	いんしょうぶかい	innshoubukai
夢みる	ゆめみる	yumemiru
報い	むくい	mukui
解き放つ	ときはなつ	tokihanatsu
効き目	ききめ	kikime
囲み	かこみ	kakomi
期限切れ	きげんぎれ	kigenngire
解き明かす	ときあかす	tokiakasu
見過ごす	みすごす	misugosu
築き上げる	きずきあげる|つきあげる	kizukiageru|tsukiageru
移り住む	うつりすむ	utsurisumu
見応え	みごたえ	migotae
打ち破る	うちやぶる	uchiyaburu
備え付け	そなえつけ	sonaetsuke
断じて	だんじて	dannjite
規則正しい	きそくただしい	kisokutadashii
酒造り	さけづくり	sakedukuri
帰り際	かえりぎわ	kaerigiwa
手厚い	てあつい|てあちい	teatsui|teachii
待ち構える	まちかまえる	machikamaeru
羽織る	はおる	haoru
雪解け	ゆきどけ	yukidoke
縄張り	なわばり	nawabari
殺る	やる|ころせる	yaru|koroseru
興す	おこす	okosu
比す	ひす	hisu
織りなす	おりなす	orinasu
燃え上がる	もえあがる	moeagaru
証す	あかす|しょうす	akasu|shousu
肥える	こえる	koeru
素通り	すどおり	sudoori
確固たる	かっこたる	kakkotaru
余す	あます	amasu
見破る	みやぶる	miyaburu
居合わせる	いあわせる	iawaseru
適う	かなう|かのう	kanau|kanou
やむを得ず	やむをえず	yamuwoezu
挙げ句	あげく	ageku
荷造り	にづくり	nidukuri
歩み寄る	あゆみよる	ayumiyoru
過す	すごす|すぐす	sugosu|sugusu
仕留める	しとめる	shitomeru
採れる	とれる	toreru
制する	せいする	seisuru
不慣れ	ふなれ	funare
持て余す	もてあます	moteamasu
留める	とどめる|とめる|どめる	todomeru|tomeru|domeru
お構い	おかまい	okamai
喜べる	よろこべる	yorokoberu
破たん	はたん	hatann
易しい	やさしい	yasashii
張り出し	はりだし	haridashi
比べ物	くらべもの	kurabemono
張り合う	はりあう|はりおう	hariau|hariou
絶する	ぜっする	zessuru
指し示す	さししめす	sashishimesu
寄り付き	よりつき	yoritsuki
張れる	はれる|ばれる|ぱれる	hareru|bareru|pareru
容れる	いれる	ireru
飼い犬	かいいぬ	kaiinu
絶え間	たえま	taema
証する	しょうする	shousuru
読み応え	よみごたえ	yomigotae
編み物	あみもの	amimono
買い得	かいどく	kaidoku
織り成す	おりなす	orinasu
きな粉	きなこ	kinako
興じる	きょうじる	kyoujiru
厚め	あつめ	atsume
程なく	ほどなく	hodonaku
救える	すくえる	sukueru
張り上げる	はりあげる	hariageru
不確か	ふたしか	futashika
往く	ゆく|いく	yuku|iku
貸出す	かしだす	kashidasu
経る	へる|ふる	heru|furu
夢にも	ゆめにも	yumenimo
得意げ	とくいげ	tokuige
せん断	せんだん	senndann
絶やす	たやす	tayasu
やり過ごす	やりすごす	yarisugosu
建ぺい率	けんぺいりつ	kennpeiritsu
慣れ親しむ	なれしたしむ	nareshitashimu
かわら版	かわらばん	kawarabann
解する	かいする|げする	kaisuru|gesuru
水増し	みずまし	mizumashi
打ち解ける	うちとける	uchitokeru
移ろい	うつろい	utsuroi
容易い	たやすい|たやしい	tayasui|tayashii
似せる	にせる	niseru
出っ張る	でっぱる	depparu
編み出す	あみだす	amidasu
持ち寄る	もちよる	mochiyoru
格上げ	かくあげ	kakuage
解らん	かいらん	kairann
お告げ	おつげ	otsuge
人混み	ひとごみ	hitogomi
逆立ち	さかだち	sakadachi
放し飼い	はなしがい	hanashigai
格下げ	かくさげ	kakusage
似る	にる	niru
わかり易い	わかりやすい	wakariyasui
貸し付け	かしつけ	kashitsuke
殺し合い	ころしあい	koroshiai
立寄る	たちよる	tachiyoru
居残る	いのこる	inokoru
似通う	にかよう	nikayou
移り変わる	うつりかわる	utsurikawaru
築ける	きづける|きずける	kidukeru|kizukeru
逆さま	さかさま	sakasama
素焼き	すやき	suyaki
書き留め	かきとめ|かきとどめ	kakitome|kakitodome
寄せ付ける	よせつける	yosetsukeru
任じる	にんじる	ninnjiru
石造り	いしづくり|いしずくり	ishidukuri|ishizukuri
店構え	みせがまえ	misegamae
波打ち際	なみうちぎわ	namiuchigiwa
断わる	ことわる	kotowaru
適する	てきする	tekisuru
手織り	ており	teori
肥やし	こやし	koyashi
修め	おさめ	osame
救い出す	すくいだす	sukuidasu
手編み	てあみ	teami
殺せる	ころせる|ごろせる	koroseru|goroseru
見限る	みかぎる	mikagiru
圧し	おし|あっし|へし|ぺし	oshi|asshi|heshi|peshi
張り付け	はりつけ	haritsuke
ご都合主義	ごつごうしゅぎ	gotsugoushugi
禁ずる	きんずる	kinnzuru
手招き	てまねき	temaneki
立ち往生	たちおうじょう	tachioujou
告ぐ	つぐ	tsugu
旧い	ふるい|ふりい	furui|furii
減じる	げんじる	gennjiru
手提げ	てさげ	tesage
読み比べる	よみくらべる	yomikuraberu
素っ気	そっけ	sokke
粉じん	ふんじん	funnjinn
身構え	みがまえ	migamae
相容れない	あいいれない	aiirenai
乗り移る	のりうつる	noriutsuru
持ち寄り	もちより	mochiyori
罪深い	つみぶかい	tsumibukai
厚かましい	あつかましい	atsukamashii
見殺し	みごろし	migoroshi
ねつ造	ねつぞう	netsuzou
燃やせる	もやせる	moyaseru
火の粉	ひのこ	hinoko
使い慣れる	つかいなれる	tsukainareru
編さん	へんさん	hennsann
しわ寄せ	しわよせ	shiwayose
演ずる	えんずる	ennzuru
移せる	うつせる	utsuseru
貸し出す	かしだす	kashidasu
破れる	やぶれる|われる	yabureru|wareru
ぶっ殺す	ぶっころす	bukkorosu
質す	ただす	tadasu
生え際	はえぎわ	haegiwa
有り余る	ありあまる	ariamaru
提げる	さげる|ひっさげる	sageru|hissageru
格好よい	かっこうよい	kakkouyoi
解せる	ほぐせる	hoguseru
人任せ	ひとまかせ	hitomakase
際どい	きわどい	kiwadoi
一点張り	いってんばり	ittennbari
解き方	ときかた	tokikata
能書き	のうがき	nougaki
桜えび	さくらえび	sakuraebi
印象づける	いんしょうづける	innshoudukeru
報いる	むくいる	mukuiru
日増しに	ひましに	himashini
精いっぱい	せいいっぱい	seiippai
独りよがり	ひとりよがり	hitoriyogari
救い主	すくいぬし	sukuinushi
金貸し	かねかし	kanekashi
耳寄り	みみより	mimiyori
枝分かれ	えだわかれ	edawakare
似つかわしい	につかわしい	nitsukawashii
送り状	おくりじょう	okurijou
けん制	けんせい	kennsei
応ずる	おうずる	ouzuru
破く	やぶく	yabuku
務まる	つとまる	tsutomaru
住み慣れる	すみなれる	suminareru
比べもの	くらべもの	kurabemono
採り入れる	とりいれる	toriireru
下支え	したざさえ	shitazasae
招き入れる	まねきいれる	manekiireru
造り上げる	つくりあげる	tsukuriageru
破ける	やぶける	yabukeru
歯応え	はごたえ	hagotae
久方ぶり	ひさかたぶり	hisakataburi
寄り付く	よりつく	yoritsuku
貸せる	かせる	kaseru
歩み寄り	あゆみより	ayumiyori
往き	ゆき|いき	yuki|iki
興ざめる	きょうざめる	kyouzameru
目移り	めうつり	meutsuri
出過ぎる	ですぎる	desugiru
気張る	きばる	kibaru
でん粉	でんぷん	dennpunn
取り留める	とりとめる	toritomeru
立ち居	たちい	tachii
義務付ける	ぎむづける	gimudukeru
確たる	かくたる	kakutaru
貸し借り	かしかり	kashikari
力任せ	ちからまかせ	chikaramakase
言い寄る	いいよる	iiyoru
採り上げる	とりあげる	toriageru
際だつ	きわだつ	kiwadatsu
板張り	いたばり	itabari
別れ際	わかれぎわ	wakaregiwa
寄せ書き	よせがき	yosegaki
引張る	ひっぱる	hipparu
打ち寄せる	うちよせる	uchiyoseru
居直る	いなおる	inaoru
か条	かじょう	kajou
織り上げる	おりあげる	oriageru
能無し	のうなし	nounashi
目減り	めべり	meberi
団らん	だんらん	dannrann
則す	そくす	sokusu
真似る	まねる	maneru
造り酒屋	つくりざかや	tsukurizakaya
因む	ちなむ	chinamu
貸切り	かしきり	kashikiri
引き際	ひきぎわ	hikigiwa
確り	しっかり|じっかり	shikkari|jikkari
張り出す	はりだす	haridasu
出張る	でばる	debaru
統べる	すべる	suberu
脈打つ	みゃくうつ	myakuutsu
弁える	わきまえる	wakimaeru
張り切り	はりきり	harikiri
造り出す	つくりだす	tsukuridasu
似つく	につく	nitsuku
ど根性	どこんじょう	dokonnjou
寄りかかる	よりかかる	yorikakaru
在りし	ありし	arishi
血迷う	ちまよう	chimayou
客寄せ	きゃくよせ	kyakuyose
報せ	しらせ	shirase
立ち寄れる	たちよれる	tachiyoreru
引き留める	ひきとめる|ひきとどめる	hikitomeru|hikitodomeru
羽織り	はおり|ばおり	haori|baori
能う	あたう|あとう	atau|atou
編み上げる	あみあげる	amiageru
張りつめる	はりつめる	haritsumeru
絶え絶え	たえだえ	taedae
飼える	かえる	kaeru
型破り	かたやぶり	katayaburi
解きほぐす	ときほぐす	tokihogusu
き損	きそん	kisonn
象る	かたどる	katadoru
暴れまくる	あばれまくる	abaremakuru
殺める	あやめる	ayameru
接ぎ木	つぎき	tsugiki
申し述べる	もうしのべる	moushinoberu
身寄り	みより	miyori
設える	しつらえる	shitsuraeru
寄り合い	よりあい	yoriai
見易い	みやすい	miyasui
出来損ない	できそこない	dekisokonai
毒づく	どくづく	dokuduku
意地っ張り	いじっぱり	ijippari
勢いづく	いきおいづく	ikioiduku
世の常	よのつね	yonotsune
学び舎	まなびや	manabiya
興る	おこる	okoru
復す	ふくす	fukusu
寄り切る	よりきる	yorikiru
見栄っ張り	みえっぱり	mieppari
仮住まい	かりずまい	karizumai
帯留め	おびどめ	obidome
さ迷う	さまよう	samayou
均しい	ひとしい	hitoshii
機織り	はたおり	hataori
歩留まり	ぶどまり	budomari
心許ない	こころもとない	kokoromotonai
過る	よぎる|すがる|すぎる	yogiru|sugaru|sugiru
身の程	みのほど	minohodo
内張り	うちばり|うちはり	uchibari|uchihari
うたい文句	うたいもんく	utaimonnku
序の口	じょのくち	jonokuchi
慣れっこ	なれっこ	narekko
修する	しゅうする	shuusuru
落ち武者	おちむしゃ	ochimusha
引っ張りだこ	ひっぱりだこ	hipparidako
得てして	えてして	eteshite
乗り過ごす	のりすごす	norisugosu
帰り支度	かえりじたく	kaerijitaku
手慣れる	てなれる	tenareru
ぶ厚い	ぶあつい|ぶあちい	buatsui|buachii
たい肥	たいひ	taihi
独り身	ひとりみ	hitorimi
耳慣れる	みみなれる	miminareru
示せる	しめせる	shimeseru
勝ち得る	かちえる	kachieru
半殺し	はんごろし	hanngoroshi
居合い	いあい	iai
貯え	たくわえ	takuwae
すり減る	すりへる	suriheru
生易しい	なまやさしい	namayasashii
身構える	みがまえる	migamaeru
測れる	はかれる	hakareru
責め立てる	せめたてる	semetateru
断固たる	だんこたる	dannkotaru
平謝り	ひらあやまり	hiraayamari
張り手	はりて	harite
居着く	いつく	itsuku
独り立ち	ひとりだち	hitoridachi
評する	ひょうする	hyousuru
枝打ち	えだうち	edauchi
暴れだす	あばれだす	abaredasu
独りぼっち	ひとりぼっち	hitoribocchi
張りつく	はりつく	haritsuku
数寄屋造り	すきやづくり	sukiyadukuri
導ける	みちびける	michibikeru
招へい	しょうへい	shouhei
永らく	ながらく	nagaraku
損じる	そんじる	sonnjiru
おびき寄せる	おびきよせる	obikiyoseru
肥やす	こやす	koyasu
すり寄る	すりよる	suriyoru
慣わし	ならわし	narawashi
右寄り	みぎより	migiyori
死に際	しにぎわ	shinigiwa
救ける	たすける	tasukeru
身の程知らず	みのほどしらず	minohodoshirazu
貸し付ける	かしつける	kashitsukeru
酸い	すい|しい	sui|shii
見過ごせる	みすごせる	misugoseru
死に絶える	しにたえる	shinitaeru
過ぎ行く	すぎゆく	sugiyuku
得がたい	えがたい	egatai
寄れる	よれる	yoreru
寄りつく	よりつく	yoritsuku
すり減らす	すりへらす	suriherasu
接ぎ	はぎ|つぎ	hagi|tsugi
圧す	おす|あっす|へす|ぺす	osu|assu|hesu|pesu
口移し	くちうつし	kuchiutsushi
総立ち	そうだち	soudachi
備に	つぶさに	tsubusani
殺ぐ	そぐ	sogu
長年の夢	ながねんのゆめ	naganennnoyume
肥る	ふとる|ぶとる	futoru|butoru
見損なう	みそこなう	misokonau
逆なで	さかなで	sakanade
面構え	つらがまえ	tsuragamae
取り混ぜる	とりまぜる	torimazeru
気構え	きがまえ	kigamae
やむを得る	やむをえる	yamuwoeru
生殺し	なまごろし	namagoroshi
在す	まします|います	mashimasu|imasu
編める	あめる	ameru
告げ口	つげぐち	tsugeguchi
貸し手	かして	kashite
際す	さいす	saisu
暴れ出す	あばれだす	abaredasu
燃え移る	もえうつる	moeutsuru
燃えさかる	もえさかる	moesakaru
根絶やし	ねだやし	nedayashi
高利貸し	こうりがし|こうりかし	kourigashi|kourikashi
留め置く	とめおく	tomeoku
現代っ子	げんだいっこ	genndaikko
寄付き	よりつき	yoritsuki
気圧される	けおされる	keosareru
思い過ごす	おもいすごす	omoisugosu
殺気立つ	さっきだつ	sakkidatsu
えん罪	えんざい	ennzai
移り気	うつりぎ	utsurigi
角張る	かくばる|かどばる	kakubaru|kadobaru
布く	しく	shiku
喜ばす	よろこばす	yorokobasu
問い質す	といただす	toitadasu
張り子	はりこ	hariko
下の句	しものく	shimonoku
左寄り	ひだりより	hidariyori
土寄せ	つちよせ	tsuchiyose
お祖父さん	おじいさん	ojiisann
字余り	じあまり	jiamari
税引き	ぜいびき	zeibiki
逆立つ	さかだつ	sakadatsu
条は	じょうは	jouha
門構え	もんがまえ|かどがまえ	monngamae|kadogamae
総なめ	そうなめ	souname
修める	おさめる	osameru
造れる	つくれる	tsukureru
書き損じ	かきそんじ	kakisonnji
局留め	きょくどめ	kyokudome
夢うつつ	ゆめうつつ	yumeutsutsu
理解し合う	りかいしあう	rikaishiau
圧する	あっする	assuru
飼い殺し	かいごろし	kaigoroshi
耕うん	こううん	kouunn
にじり寄る	にじりよる	nijiriyoru
寄せつける	よせつける	yosetsukeru
編み目	あみめ	amime
絵解き	えとき	etoki
道場破り	どうじょうやぶり	doujouyaburi
積み増し	つみまし	tsumimashi
価する	あたいする	ataisuru
張り付ける	はりつける	haritsukeru
平織り	ひらおり	hiraori
ひな型	ひながた	hinagata
書き留める	かきとめる|かきとどめる	kakitomeru|kakitodomeru
燃え広がる	もえひろがる	moehirogaru
口寄せ	くちよせ	kuchiyose
素知らぬ	そしらぬ	soshiranu
うどん粉	うどんこ	udonnko
貸し切る	かしきる	kashikiru
導き出せる	みちびきだせる	michibikidaseru
とび職	とびしょく	tobishoku
報ずる	ほうずる	houzuru
毒消し	どくけし|どっけし	dokukeshi|dokkeshi
見果てぬ夢	みはてぬゆめ	mihatenuyume
減ずる	げんずる	gennzuru
断ずる	だんずる	dannzuru
犯せる	おかせる	okaseru
序で	ついで	tsuide
張りつける	はりつける	haritsukeru
情ない	なさけない	nasakenai
独り歩き	ひとりあるき	hitoriaruki
練り製品	ねりせいひん	neriseihinn
示し合わせる	しめしあわせる	shimeshiawaseru
行き過ぎる	いきすぎる|ゆきすぎる	ikisugiru|yukisugiru
燃す	もす|もやす	mosu|moyasu
領する	りょうする	ryousuru
備付ける	そなえつける	sonaetsukeru
心得る	こころえる|こころうる	kokoroeru|kokorouru
綿入れ	わたいれ	wataire
子飼い	こがい	kogai
防じん	ぼうじん	boujinn
焼き増し	やきまし	yakimashi
永らえる	ながらえる	nagaraeru
断れる	ことわれる	kotowareru
寄こす	よこす	yokosu
お祖母さん	おばあさん	obaasann
制は	せいは	seiha
お得意さん	おとくいさん	otokuisann
かみ殺す	かみころす	kamikorosu
移り香	うつりが	utsuriga
燃え立つ	もえたつ	moetatsu
独り者	ひとりもの	hitorimono
ひき殺す	ひきころす	hikikorosu
上の句	かみのく	kaminoku
ふっ素	ふっそ	fusso
厚ぼったい	あつぼったい	atsubottai
殺し文句	ころしもんく	koroshimonnku
費す	ついやす	tsuiyasu
型くずれ	かたくずれ	katakuzure
差支え	さしつかえ	sashitsukae
仮り	かり	kari
歴然と	れきぜんと	rekizennto
ご破算	ごはさん	gohasann
興味しんしん	きょうみしんしん	kyoumishinnshinn
取り得	とりどく|とりえ	toridoku|torie
飼い慣らす	かいならす	kainarasu
罪作り	つみつくり	tsumitsukuri
型付け	かたつけ	katatsuke
余り物	あまりもの	amarimono
造りあげる	つくりあげる	tsukuriageru
張りきる	はりきる	harikiru
製する	せいする	seisuru
車寄せ	くるまよせ	kurumayose
右寄せ	みぎよせ	migiyose
造りだす	つくりだす	tsukuridasu
桜もち	さくらもち	sakuramochi
目張り	めばり	mebari
移れる	うつれる	utsureru
情け深い	なさけぶかい	nasakebukai
接ぐ	つぐ|はぐ	tsugu|hagu
迷わす	まよわす	mayowasu
雑然と	ざつぜんと	zatsuzennto
名寄せ	なよせ	nayose
左寄せ	ひだりよせ	hidariyose
張りぼて	はりぼて	haribote
