自分	じぶん	jibunn
文科	ぶんか|もんか	bunnka|monnka
通気	つうき	tsuuki
社外	しゃがい	shagai
丸太	まるた	maruta
門前	もんぜん	monnzenn
母体	ぼたい	botai
近日	きんじつ	kinnjitsu
本国	ほんごく	honngoku
朝方	あさがた	asagata
羽目	はめ|ばめ	hame|bame
回帰	かいき	kaiki
引きこもり	ひきこもり	hikikomori
本市	ほんし	honnshi
汽車	きしゃ|ぎしゃ	kisha|gisha
太り	ふとり|ぶとり	futori|butori
親しい	したしい	shitashii
図形	ずけい	zukei
合せ	がっせ|あわせ	gasse|awase
入店	にゅうてん	nyuutenn
道内	どうない	dounai
学内	がくない	gakunai
口内	こうない	kounai
黒色	くろいろ|こくしょく	kuroiro|kokushoku
黒木	くろき	kuroki
光り	ひかり	hikari
番長	ばんちょう	bannchou
思ふ	おもふ	omofu
名店	めいてん	meitenn
火曜	かよう	kayou
言い分	いいぶん	iibunn
男前	おとこまえ	otokomae
羽毛	うもう	umou
細やか	こまやか|ささやか|ほそやか	komayaka|sasayaka|hosoyaka
同月	どうげつ	dougetsu
地中	ちちゅう	chichuu
道理	どうり	douri
親分	おやぶん	oyabunn
川原	かわら|がわら	kawara|gawara
音頭	おんど	onndo
日食	にっしょく	nisshoku
食べれる	たべれる	tabereru
年長	ねんちょう	nennchou
風合い	ふうあい	fuuai
用心	ようじん	youjinn
元ネタ	もとねた	motoneta
月光	げっこう	gekkou
高が	こうが	kouga
風車	ふうしゃ|かざぐるま	fuusha|kazaguruma
計り	ばかり|はかり	bakari|hakari
方角	ほうがく	hougaku
室長	しつちょう	shitsuchou
行き来	いきき|ゆきき	ikiki|yukiki
千秋	せんしゅう	sennshuu
親王	しんのう	shinnnou
歩む	あゆむ	ayumu
海中	かいちゅう	kaichuu
谷間	たにま|たにあい	tanima|taniai
半月	はんつき|はんげつ	hanntsuki|hanngetsu
外れる	はずれる	hazureru
少子	しょうし	shoushi
後ほど	のちほど	nochihodo
太刀	たち|だち	tachi|dachi
本会	ほんかい	honnkai
食道	しょくどう	shokudou
春休み	はるやすみ	haruyasumi
通りすがり	とおりすがり	toorisugari
当番	とうばん	toubann
色紙	いろがみ|しきし	irogami|shikishi
兄妹	きょうだい	kyoudai
朝市	あさいち	asaichi
目の当たり	まのあたり|めのあたり	manoatari|menoatari
点字	てんじ	tennji
中高	ちゅうこう|なかだか	chuukou|nakadaka
古道	こどう|ふるみち	kodou|furumichi
白紙	はくし|しらかみ	hakushi|shirakami
鳴らす	ならす	narasu
知見	ちけん	chikenn
一人前	いちにんまえ|ひとりまえ	ichininnmae|hitorimae
読み上げ	よみあげ	yomiage
走れる	はしれる	hashireru
元来	がんらい	gannrai
体外	たいがい	taigai
雪山	ゆきやま	yukiyama
本丸	ほんまる	honnmaru
一新	いっしん	isshinn
国歌	こっか	kokka
出社	しゅっしゃ	shussha
明言	めいげん	meigenn
当人	とうにん	touninn
売場	うりば	uriba
直下	ちょっか|じきげ	chokka|jikige
台頭	たいとう	taitou
家出	いえで	iede
来春	らいはる|らいしゅん	raiharu|raishunn
野中	のなか	nonaka
金星	きんぼし	kinnboshi
何れ	いずれ|どれ	izure|dore
岩石	がんせき	gannseki
歩ける	あるける	arukeru
作風	さくふう	sakufuu
書き下ろし	かきおろし	kakioroshi
分かち	わかち	wakachi
中高生	ちゅうこうせい	chuukousei
西方	さいほう|せいほう|にしがた	saihou|seihou|nishigata
活かせる	いかせる	ikaseru
夏バテ	なつばて	natsubate
心強い	こころづよい	kokoroduyoi
一丸	いちがん	ichigann
台地	だいち	daichi
昼前	ひるまえ	hirumae
八雲	やくも	yakumo
作中	さくちゅう	sakuchuu
回生	かいせい	kaisei
本心	ほんしん	honnshinn
母ちゃん	かあちゃん	kaachann
西南	せいなん	seinann
切り上げ	きりあげ	kiriage
大門	だいもん|おおもん	daimonn|oomonn
売り出し	うりだし	uridashi
万引き	まんびき	mannbiki
見合わせ	みあわせ	miawase
肉食	にくしょく|にくじき	nikushoku|nikujiki
山門	さんもん	sannmonn
大当たり	おおあたり	ooatari
朝顔	あさがお	asagao
矢先	やさき	yasaki
冬休み	ふゆやすみ	fuyuyasumi
園長	えんちょう	ennchou
歌人	かじん|うたびと	kajinn|utabito
自前	じまえ	jimae
組長	くみちょう	kumichou
細心	さいしん	saishinn
国分	こくぶん	kokubunn
文言	もんごん|ぶんげん	monngonn|bunngenn
今ひとつ	いまひとつ	imahitotsu
書体	しょたい	shotai
寺社	じしゃ	jisha
朝夕	あさゆう|ちょうせき	asayuu|chouseki
明け方	あけがた	akegata
一回り	ひとまわり	hitomawari
行楽	こうらく	kouraku
細長い	ほそながい	hosonagai
晴れる	はれる	hareru
書きかけ	かきかけ	kakikake
昼夜	ちゅうや|ひるよる	chuuya|hiruyoru
空海	くうかい	kuukai
書き出し	かきだし	kakidashi
食肉	しょくにく	shokuniku
北海	ほっかい	hokkai
先行き	さきゆき	sakiyuki
何せ	なにせ|なんせ	nanise|nannse
顔立ち	かおだち	kaodachi
年会	ねんかい	nennkai
一心	いっしん	isshinn
耳元	みみもと	mimimoto
北国	きたぐに|ほっこく	kitaguni|hokkoku
何千	なんぜん	nannzenn
太子	たいし	taishi
市電	しでん	shidenn
人道	じんどう	jinndou
番線	ばんせん	bannsenn
春先	はるさき	harusaki
外道	げどう	gedou
気長	きなが	kinaga
遠山	えんざん|とおやま	ennzann|tooyama
何分	なにぶん	nanibunn
生計	せいけい	seikei
止む	やむ	yamu
野原	のはら	nohara
今作	こんさく	konnsaku
長らく	ながらく	nagaraku
空き地	あきち	akichi
出家	しゅっけ	shukke
晴れ間	はれま	harema
太一	たいいつ|たいち	taiitsu|taichi
前もって	まえもって	maemotte
春秋	しゅんじゅう|はるあき	shunnjuu|haruaki
同国	どうこく	doukoku
名声	めいせい	meisei
切り出し	きりだし	kiridashi
言い回し	いいまわし	iimawashi
下回る	したまわる	shitamawaru
明かす	あかす	akasu
内海	うちうみ|ないかい	uchiumi|naikai
口当たり	くちあたり	kuchiatari
道楽	どうらく	douraku
前月	ぜんげつ	zenngetsu
大丸	おおまる	oomaru
見聞	けんぶん|けんもん	kennbunn|kennmonn
弱体	じゃくたい	jakutai
多し	おおし	ooshi
多角	たかく	takaku
書名	しょめい	shomei
分り	わかり	wakari
近づける	ちかづける	chikadukeru
赤羽	あかはね	akahane
同い年	おないどし	onaidoshi
点火	てんか|とぼし	tennka|toboshi
名高い	なだかい	nadakai
一門	いちもん	ichimonn
台車	だいしゃ	daisha
下野	げや	geya
原生	げんせい	gennsei
強いて	しいて	shiite
小顔	こがお	kogao
遠出	とおで	toode
同心	どうしん	doushinn
六角	ろっかく	rokkaku
花道	はなみち|かどう	hanamichi|kadou
高そう	こうそう	kousou
売上げ	うりあげ	uriage
公用	こうよう	kouyou
小国	しょうこく	shoukoku
母国	ぼこく	bokoku
野山	のやま	noyama
親知らず	おやしらず	oyashirazu
正門	せいもん	seimonn
大黒	だいこく	daikoku
西京	さいきょう	saikyou
大方	おおかた|たいほう|だいほう	ookata|taihou|daihou
市道	しどう	shidou
天理	てんり	tennri
人魚	にんぎょ	ninngyo
会食	かいしょく	kaishoku
同校	どうこう	doukou
食す	しょくす	shokusu
山里	やまざと	yamazato
見切り	みきり	mikiri
校歌	こうか	kouka
今春	こんしゅん	konnshunn
千鳥	ちどり	chidori
手記	しゅき	shuki
年来	ねんらい	nennrai
前走	ぜんそう	zennsou
まつ毛	まつげ	matsuge
里帰り	さとがえり	satogaeri
上戸	じょうご	jougo
野草	やそう	yasou
帰れる	かえれる	kaereru
山寺	やまでら	yamadera
元本	がんぽん	gannponn
馬力	ばりき	bariki
本紙	ほんし	honnshi
一室	いっしつ	isshitsu
気体	きたい	kitai
交わす	かわす	kawasu
見晴らし	みはらし	miharashi
売国	ばいこく	baikoku
今夏	こんか	konnka
親近	しんきん	shinnkinn
家中	かちゅう	kachuu
強大	きょうだい	kyoudai
顔つき	かおつき	kaotsuki
白米	はくまい	hakumai
手羽	てば	teba
先方	せんぽう|さきがた	sennpou|sakigata
教頭	きょうとう	kyoutou
秋冬	あきふゆ|しゅうとう	akifuyu|shuutou
後見	こうけん|うしろみ	koukenn|ushiromi
教え子	おしえご	oshiego
春夏	はるなつ	harunatsu
記す	しるす|きす	shirusu|kisu
公言	こうげん	kougenn
市外	しがい	shigai
小切手	こぎって	kogitte
四角	しかく	shikaku
通夜	つや	tsuya
町家	まちや|ちょうか	machiya|chouka
月夜	つきよ|づきよ	tsukiyo|dukiyo
大海	たいかい	taikai
後回し	あとまわし	atomawashi
半生	はんせい|はんしょう|はんなま	hannsei|hannshou|hannnama
黒毛	くろげ	kuroge
行きつけ	ゆきつけ|いきつけ	yukitsuke|ikitsuke
四角い	しかくい|しかきい	shikakui|shikakii
春風	しゅんぷう|はるかぜ	shunnpuu|harukaze
雪国	ゆきぐに	yukiguni
風通し	かぜとおし|かざとおし	kazetooshi|kazatooshi
父子	ちちこ|ふし	chichiko|fushi
読本	とくほん|よみほん|どくほん	tokuhonn|yomihonn|dokuhonn
間合い	まあい	maai
心当たり	こころあたり	kokoroatari
近海	きんかい	kinnkai
引き金	ひきがね	hikigane
食える	くえる	kueru
地内	じない	jinai
公道	こうどう	koudou
遠回り	とおまわり	toomawari
弱気	よわき	yowaki
三線	さんしん	sannshinn
茶室	ちゃしつ	chashitsu
後手	うしろで|ごて	ushirode|gote
ひと言	ひとこと	hitokoto
理工	りこう	rikou
引数	ひきすう	hikisuu
週休	しゅうきゅう	shuukyuu
南北朝	なんぼくちょう	nannbokuchou
日当	にっとう	nittou
出来高	できだか	dekidaka
記名	きめい	kimei
顔ぶれ	かおぶれ	kaobure
場外	じょうがい	jougai
大通	おおどおり|だいつう	oodoori|daitsuu
社寺	しゃじ	shaji
太る	ふとる	futoru
前売り	まえうり	maeuri
後場	ごば	goba
高見	こうけん	koukenn
入室	にゅうしつ	nyuushitsu
大船	おおぶね	oobune
切に	せつに	setsuni
父ちゃん	とうちゃん	touchann
西国	さいこく|さいごく	saikoku|saigoku
近親	きんしん	kinnshinn
目元	めもと	memoto
高音	こうおん|たかね	kouonn|takane
船内	せんない	sennnai
光明	こうみょう	koumyou
国公立	こっこうりつ	kokkouritsu
公文	こうぶん|くもん	koubunn|kumonn
小声	こごえ	kogoe
引き立て	ひきたて	hikitate
光子	こうし	koushi
番台	ばんだい	banndai
自室	じしつ	jishitsu
早春	そうしゅん	soushunn
線引き	せんびき	sennbiki
毛糸	けいと	keito
出国	しゅっこく	shukkoku
今秋	こんしゅう	konnshuu
出頭	しゅっとう	shuttou
内地	ないち	naichi
当直	とうちょく	touchoku
北風	きたかぜ|ほくふう	kitakaze|hokufuu
時雨	しぐれ	shigure
見せ場	みせば	miseba
高地	こうち	kouchi
丸見え	まるみえ	marumie
絵図	えず	ezu
売れ行き	うれゆき	ureyuki
南高	なんこう	nannkou
原本	げんぽん	gennponn
計る	はかる	hakaru
風間	かざま	kazama
出船	しゅっせん|でふね|でぶね	shussenn|defune|debune
通年	つうねん	tsuunenn
千切り	ちぎり|せんぎり	chigiri|senngiri
小雪	こゆき|しょうせつ	koyuki|shousetsu
小高い	こだかい	kodakai
考古	こうこ	kouko
自公	じこう	jikou
太古	たいこ	taiko
船体	せんたい	senntai
土間	どま	doma
引き合い	ひきあい	hikiai
弱火	よわび	yowabi
本道	ほんどう	honndou
万里	ばんり	bannri
山野草	さんやそう	sannyasou
算入	さんにゅう	sannnyuu
何万	なんまん	nannmann
作り手	つくりて	tsukurite
秋月	しゅうげつ	shuugetsu
もち米	もちごめ	mochigome
東南	とうなん	tounann
弓道	きゅうどう	kyuudou
五行	ごぎょう	gogyou
夏まつり	なつまつり	natsumatsuri
東上	とうじょう	toujou
帰す	かえす|きす	kaesu|kisu
体当たり	たいあたり	taiatari
読み書き	よみかき	yomikaki
上書き	うわがき	uwagaki
数理	すうり	suuri
海道	かいどう	kaidou
体長	たいちょう	taichou
立て直し	たてなおし	tatenaoshi
合える	あえる	aeru
野心	やしん	yashinn
海原	うなばら	unabara
小春	こはる	koharu
自白	じはく	jihaku
百人一首	ひゃくにんいっしゅ	hyakuninnisshu
耳鳴り	みみなり	miminari
同店	どうてん	doutenn
直角	ちょっかく	chokkaku
音読	おんどく	onndoku
思いのほか	おもいのほか	omoinohoka
歌える	うたえる	utaeru
広める	ひろめる	hiromeru
引当	ひきあて	hikiate
見地	けんち	kennchi
木戸	きど	kido
車台	しゃだい	shadai
読み手	よみて	yomite
線形	せんけい	sennkei
一分	いちぶん	ichibunn
食らう	くらう	kurau
肉まん	にくまん	nikumann
今ごろ	いまごろ	imagoro
買い方	かいかた	kaikata
鳴子	なるこ	naruko
一元	いちげん	ichigenn
茶の間	ちゃのま	chanoma
戸数	こすう	kosuu
親交	しんこう	shinnkou
細道	ほそみち	hosomichi
当会	とうかい	toukai
麦茶	むぎちゃ	mugicha
町会	ちょうかい	choukai
強める	つよめる	tsuyomeru
公売	こうばい	koubai
力作	りきさく	rikisaku
買い手	かいて	kaite
小百合	さゆり	sayuri
左記	さき	saki
船頭	せんどう	senndou
何だかんだ	なんだかんだ	nanndakannda
切れ目	きれめ	kireme
し直し	しなおし	shinaoshi
思い思い	おもいおもい	omoiomoi
名画	めいが	meiga
草食	そうしょく	soushoku
絵馬	えま	ema
王家	おうけ	ouke
新道	しんどう|しんみち	shinndou|shinnmichi
生長	せいちょう	seichou
小心	しあおしん|しょうしん	shiaoshinn|shoushinn
書き手	かきて	kakite
強まる	つよまる	tsuyomaru
秋刀魚	さんま	sannma
顔出し	かおだし	kaodashi
色白	いろじろ	irojiro
一声	いっせい|ひとこえ	issei|hitokoe
赤毛	あかげ	akage
母音	ぼいん|ぼおん	boinn|boonn
時分	じぶん	jibunn
五色	ごしき	goshiki
中道	ちゅうどう|なかみち	chuudou|nakamichi
ひとり言	ひとりごと	hitorigoto
分校	ぶんこう	bunnkou
合算	がっさん	gassann
小道	こみち	komichi
書き直し	かきなおし	kakinaoshi
野手	やしゅ	yashu
赤星	あかほし|あかぼし	akahoshi|akaboshi
公家	くげ	kuge
新月	しんげつ	shinngetsu
寺町	てらまち	teramachi
東国	とうごく	tougoku
船上	せんじょう	sennjou
金時	きんとき	kinntoki
出直し	でなおし	denaoshi
交じり	まじり	majiri
王室	おうしつ	oushitsu
十二分	じゅうにぶん	juunibunn
昼下がり	ひるさがり	hirusagari
高遠	こうえん	kouenn
魚や	さかなや	sakanaya
線上	せんじょう	sennjou
古木	こぼく	koboku
家人	かじん|けにん	kajinn|keninn
手直し	てなおし	tenaoshi
前場	ぜんば	zennba
立会い	たちあい	tachiai
人通り	ひとどおり	hitodoori
年少	ねんしょう	nennshou
分光	ぶんこう	bunnkou
春雨	はるさめ|しゅんう	harusame|shunnu
買上げ	かいあげ	kaiage
茶色い	ちゃいろい	chairoi
引きずり	ひきずり	hikizuri
白地	しらじ|しろじ	shiraji|shiroji
字体	じたい	jitai
新日	しんにち	shinnnichi
細分	さいぶん	saibunn
自画	じが	jiga
水門	すいもん	suimonn
土用	どよう	doyou
空売り	からうり	karauri
そよ風	そよかぜ	soyokaze
父兄	ふけい	fukei
新市	しんし	shinnshi
谷中	やなか	yanaka
何がし	なにがし	nanigashi
南風	みなみかぜ|なんぷう|はえ	minamikaze|nannpuu|hae
つかの間	つかのま	tsukanoma
顔合わせ	かおあわせ	kaoawase
知力	ちりょく	chiryoku
今どき	いまどき	imadoki
会し	かいし	kaishi
聞き手	ききて	kikite
牛タン	ぎゅうたん	gyuutann
花形	はながた	hanagata
立ち回り	たちまわり	tachimawari
外気	がいき	gaiki
生家	せいか	seika
交わり	まじわり	majiwari
秋晴れ	あきばれ	akibare
声楽	せいがく	seigaku
か国	かこく	kakoku
小魚	こざかな	kozakana
強弱	きょうじゃく	kyoujaku
週明け	しゅうあけ	shuuake
本分	ほんぶん	honnbunn
一風	いっぷう	ippuu
文楽	ぶんらく	bunnraku
国力	こくりょく	kokuryoku
親水	しんすい	shinnsui
親しむ	したしむ	shitashimu
茶会	ちゃかい	chakai
夜食	やしょく	yashoku
肉じゃが	にくじゃが	nikujaga
番頭	ばんがしら|ばんとう	banngashira|banntou
国名	こくめい	kokumei
古文	こぶん	kobunn
林家	りんか	rinnka
読み直し	よみなおし	yominaoshi
色っぽい	いろっぽい	iroppoi
大麦	おおむぎ	oomugi
分る	わける|わかる	wakeru|wakaru
前科	ぜんか	zennka
色あせ	いろあせ	iroase
書きこみ	かきこみ	kakikomi
下書き	したがき	shitagaki
間口	まぐち	maguchi
ただし書	ただしがき	tadashigaki
大台	おおだい	oodai
買出し	かいだし	kaidashi
買い出し	かいだし	kaidashi
店先	みせさき	misesaki
親日	しんにち	shinnnichi
買春	ばいしゅん|かいしゅん	baishunn|kaishunn
当る	あたる	ataru
何色	なにいろ	naniiro
同町	どうちょう	douchou
語り口	かたりくち	katarikuchi
八百長	やおちょう	yaochou
雲海	うんかい	unnkai
日当り	ひあたり	hiatari
うわさ話	うわさばなし	uwasabanashi
は行	はぎょう	hagyou
明星	みょうじょう	myoujou
里子	さとご	satogo
自明	じめい	jimei
古び	ふるび	furubi
遠心	えんしん	ennshinn
直立	ちょくりつ	chokuritsu
弱小	じゃくしょう	jakushou
元日	がんじつ	gannjitsu
原木	げんぼく	gennboku
姉弟	してい	shitei
角地	かどち	kadochi
外車	がいしゃ	gaisha
長引く	ながびく	nagabiku
東風	ひがしかぜ|とうふう|こち|ごち	higashikaze|toufuu|kochi|gochi
自走	じそう	jisou
遠近	えんきん|おちこち	ennkinn|ochikochi
買いもの	かいもの	kaimono
後年	こうねん	kounenn
ひき肉	ひきにく	hikiniku
子分	こぶん	kobunn
村内	そんない|むらうち	sonnnai|murauchi
家来	けらい|げらい	kerai|gerai
心がける	こころがける	kokorogakeru
こぼれ話	こぼればなし	koborebanashi
大前	おおまえ	oomae
た行	たぎょう	tagyou
直る	なおる	naoru
岩魚	いわな	iwana
黒石	くろいし	kuroishi
合作	がっさく	gassaku
木場	きば|こば	kiba|koba
出自	しゅつじ	shutsuji
大人買い	おとながい	otonagai
大岩	おおいわ	ooiwa
水場	みずば	mizuba
交友	こうゆう	kouyuu
前足	まえあし	maeashi
広角	こうかく	koukaku
西海	さいかい	saikai
遠目	とおめ	toome
水鳥	すいちょう|みずとり	suichou|mizutori
新風	しんぷう	shinnpuu
語れる	かたれる	katareru
足回り	あしまわり	ashimawari
大道	たいどう|だいどう	taidou|daidou
風光	ふうこう	fuukou
引ける	ひける	hikeru
母方	ははかた	hahakata
秋風	あきかぜ|しゅうふう	akikaze|shuufuu
七色	なないろ	nanairo
地すべり	じすべり	jisuberi
文教	ぶんきょう	bunnkyou
新し	あたらし	atarashi
空回り	からまわり	karamawari
林間	りんかん	rinnkann
し合う	しあう|しおう	shiau|shiou
頭数	あたまかず|とうすう	atamakazu|tousuu
来れる	これる	koreru
高らか	たからか	takaraka
上体	じょうたい	joutai
地魚	じざかな	jizakana
毛先	けさき	kesaki
古紙	こし	koshi
家元	いえもと	iemoto
黒子	くろこ|くろご|こくし|ほくろ|ぼくろ	kuroko|kurogo|kokushi|hokuro|bokuro
さ行	さぎょう	sagyou
赤道	せきどう	sekidou
通風	つうふう	tsuufuu
台紙	だいし	daishi
かみ合わせ	かみあわせ	kamiawase
きめ細か	きめこまか	kimekomaka
国原	くにはら	kunihara
公金	こうきん	koukinn
原野	げんや	gennya
あ行	あぎょう	agyou
空き家	あきや	akiya
心ゆく	こころゆく	kokoroyuku
立会	たちあい	tachiai
休み明け	やすみあけ	yasumiake
気道	きどう	kidou
谷町	たにまち	tanimachi
点心	てんしん	tennshinn
語らい	かたらい	katarai
足止め	あしどめ	ashidome
組立て	くみたて	kumitate
三毛	みけ	mike
水切り	みずきり	mizukiri
元通り	もとどおり	motodoori
風雨	ふうう	fuuu
黒ずみ	くろずみ	kurozumi
原石	げんせき	gennseki
ファミ通	ふぁみつう	famitsuu
大食い	おおぐい	oogui
通ずる	つうずる	tsuuzuru
海馬	かいば|うみうま	kaiba|umiuma
石室	せきしつ|いしむろ	sekishitsu|ishimuro
後記	こうき	kouki
国人	くにびと|こくじん	kunibito|kokujinn
通り道	とおりみち	toorimichi
入道	にゅうどう	nyuudou
田楽	でんがく	denngaku
太字	ふとじ	futoji
すき間	すきま	sukima
上地	じょうち	jouchi
立国	りっこく	rikkoku
八方	はっぽう	happou
雪道	せつどう|ゆきみち	setsudou|yukimichi
食前	しょくぜん	shokuzenn
新店	しんみせ	shinnmise
切り分け	きりわけ	kiriwake
新茶	しんちゃ	shinncha
ため池	ためいけ	tameike
言ふ	ゆふ	yufu
止み	やみ	yami
道しるべ	みちしるべ	michishirube
竹刀	しない	shinai
交わる	まじわる	majiwaru
立春	りっしゅん	risshunn
左近	さこん	sakonn
分家	ぶんけ	bunnke
木馬	もくば	mokuba
山海	さんかい	sannkai
活魚	かつぎょ|いけうお	katsugyo|ikeuo
分数	ぶんすう	bunnsuu
星雲	せいうん	seiunn
海草	かいそう	kaisou
小夜	さよ	sayo
自ずと	おのずと	onozuto
明ける	あける	akeru
校門	こうもん	koumonn
電光	でんこう	dennkou
草地	くさち	kusachi
強まり	つよまり	tsuyomari
言わば	いわば|ゆわば	iwaba|yuwaba
明か	あか|あきらか	aka|akiraka
黒船	くろふね	kurofune
下図	かず|したず	kazu|shitazu
目頭	めがしら	megashira
車高	しゃこう	shakou
聞え	きこえ	kikoe
か行	かぎょう	kagyou
文理	ぶんり	bunnri
下線	かせん	kasenn
長生	ちょうせい	chousei
小分け	こわけ	kowake
青海	あおうみ	aoumi
岩山	いわやま	iwayama
売り方	うりかた	urikata
食する	しょくする	shokusuru
食べもの	たべもの	tabemono
雪かき	ゆきかき	yukikaki
同会	どうかい	doukai
手引	てびき	tebiki
右記	うき	uki
声高	こわだか	kowadaka
教わる	おそわる	osowaru
同室	どうしつ	doushitsu
小回り	こまわり	komawari
今一つ	いまひとつ	imahitotsu
強火	つよび	tsuyobi
夜半	よわ|やはん	yowa|yahann
十八番	おはこ	ohako
工大	こうだい	koudai
売り手	うりて	urite
南山	なんざん	nannzann
数多	あまた|すうた	amata|suuta
寺内	じない	jinai
同大	どうだい	doudai
来社	らいしゃ	raisha
聞き分け	ききわけ	kikiwake
楽チン	らくちん	rakuchinn
古風	こふう	kofuu
長大	ちょうだい	choudai
社中	しゃちゅう	shachuu
思いきり	おもいきり	omoikiri
市町村長	しちょうそんちょう	shichousonnchou
行き止まり	いきどまり|ゆきどまり	ikidomari|yukidomari
売り子	うりこ	uriko
月半ば	つきなかば	tsukinakaba
当行	とうこう	toukou
何もの	なにもの	nanimono
西北	せいほく|にしきた	seihoku|nishikita
日用	にちよう	nichiyou
ほど遠い	ほどとおい	hodotooi
中山間	ちゅうさんかん	chuusannkann
きめ細かい	きめこまかい	kimekomakai
花色	はないろ|かしょく	hanairo|kashoku
引っかかり	ひっかかり	hikkakari
広まり	ひろまり	hiromari
な行	なぎょう	nagyou
室外	しつがい	shitsugai
雲の上	くものうえ	kumonoue
日本語	にほんご	nihonngo
一回	いちかい	ichikai
高校生	こうこうせい	koukousei
外国人	がいこくじん	gaikokujinn
日曜日	にちようび	nichiyoubi
土曜日	どようび	doyoubi
何回	なんかい	nannkai
教科書	きょうかしょ	kyoukasho
見方	みかた	mikata
午前中	ごぜんちゅう	gozennchuu
中国人	ちゅうごくじん	chuugokujinn
社会人	しゃかいじん	shakaijinn
金曜日	きんようび	kinnyoubi
月曜日	げつようび	getsuyoubi
中古車	ちゅうこしゃ	chuukosha
中国語	ちゅうごくご	chuugokugo
子会社	こがいしゃ	kogaisha
長時間	ちょうじかん	choujikann
原子力	げんしりょく	gennshiryoku
心理学	しんりがく	shinnrigaku
女子高	じょしこう	joshikou
水曜日	すいようび	suiyoubi
火曜日	かようび	kayoubi
女子高生	じょしこうせい	joshikousei
食生活	しょくせいかつ	shokuseikatsu
木曜日	もくようび	mokuyoubi
下水道	げすいどう	gesuidou
売上高	うりあげだか	uriagedaka
茶色	ちゃいろ	chairo
新聞社	しんぶんしゃ	shinnbunnsha
外国語	がいこくご	gaikokugo
何日	なんにち	nannnichi
少人数	しょうにんずう	shouninnzuu
青色	あおいろ	aoiro
数時間	すうじかん	suujikann
時間外	じかんがい	jikanngai
赤外線	せきがいせん	sekigaisenn
通知書	つうちしょ	tsuuchisho
会社名	かいしゃめい	kaishamei
外出先	がいしゅつさき	gaishutsusaki
分科会	ぶんかかい	bunnkakai
何本	なんぼん	nannbonn
地下水	ちかすい	chikasui
考古学	こうこがく	koukogaku
新年会	しんねんかい	shinnnennkai
新入生	しんにゅうせい	shinnnyuusei
社会学	しゃかいがく	shakaigaku
大多数	だいたすう	daitasuu
明太子	めんたいこ	menntaiko
高分子	こうぶんし	koubunnshi
顔文字	かおもじ	kaomoji
一直線	いっちょくせん	icchokusenn
音楽家	おんがくか	onngakuka
何時間	なんじかん	nannjikann
中心地	ちゅうしんち	chuushinnchi
三角形	さんかっけい	sannkakkei
水道水	すいどうすい	suidousui
一時金	いちじきん	ichijikinn
新生活	しんせいかつ	shinnseikatsu
親会社	おやがいしゃ	oyagaisha
計算書	けいさんしょ	keisannsho
帰国後	きこくご	kikokugo
明細書	めいさいしょ	meisaisho
絵文字	えもじ	emoji
新聞紙	しんぶんし	shinnbunnshi
町内会	ちょうないかい	chounaikai
絵日記	えにっき	enikki
高学年	こうがくねん	kougakunenn
小売店	こうりてん	kouritenn
計画書	けいかくしょ	keikakusho
社会科	しゃかいか	shakaika
走行中	そうこうちゅう	soukouchuu
公文書	こうぶんしょ	koubunnsho
入門書	にゅうもんしょ	nyuumonnsho
日本刀	にほんとう	nihonntou
図書室	としょしつ	toshoshitsu
天文台	てんもんだい	tennmonndai
数年間	すうねんかん	suunennkann
大人数	おおにんずう	ooninnzuu
人気店	にんきてん	ninnkitenn
数週間	すうしゅうかん	suushuukann
会場内	かいじょうない	kaijounai
新会社	しんがいしゃ	shinngaisha
文字数	もじすう	mojisuu
数日間	すうじつかん	suujitsukann
大理石	だいりせき	dairiseki
力強	ちからづよ	chikaraduyo
古文書	こもんじょ	komonnjo
千秋楽	せんしゅうらく	sennshuuraku
生理学	せいりがく	seirigaku
語学力	ごがくりょく	gogakuryoku
頭文字	かしらもじ	kashiramoji
大百科	だいひゃっか	daihyakka
風土記	ふどき	fudoki
通行人	つうこうにん	tsuukouninn
原生林	げんせいりん	gennseirinn
工学科	こうがくか|こうがっか	kougakuka|kougakka
地形図	ちけいず	chikeizu
思考力	しこうりょく	shikouryoku
合気道	あいきどう	aikidou
長方形	ちょうほうけい	chouhoukei
遠赤外線	えんせきがいせん	ennsekigaisenn
黄金色	こがねいろ	koganeiro
日本食	にほんしょく	nihonnshoku
国内線	こくないせん	kokunaisenn
引当金	ひきあてきん	hikiatekinn
今日中	きょうじゅう	kyoujuu
言語学	げんごがく	genngogaku
絵手紙	えてがみ	etegami
天地人	てんちじん	tennchijinn
心電図	しんでんず	shinndennzu
音楽会	おんがくかい	onngakukai
米国人	べいこくじん	beikokujinn
後見人	こうけんにん	koukennninn
地下室	ちかしつ	chikashitsu
正方形	せいほうけい	seihoukei
外野手	がいやしゅ	gaiyashu
多年草	たねんそう	tanennsou
出方	でかた	dekata
日本茶	にほんちゃ	nihonncha
見本市	みほんいち	mihonnichi
今年中	ことしじゅう	kotoshijuu
小数点	しょうすうてん	shousuutenn
古書店	こしょてん	koshotenn
手羽先	てばさき	tebasaki
室内楽	しつないがく	shitsunaigaku
今月中	こんげつちゅう	konngetsuchuu
番組内	ばんぐみない	bannguminai
上下水道	じょうげすいどう	jougesuidou
組合長	くみあいちょう	kumiaichou
工場長	こうじょうちょう	koujouchou
