場合	ばあい	baai
別に	べつに	betsuni
失う	うしなう|うしのう|のう	ushinau|ushinou|nou
並ぶ	ならぶ	narabu
残り	のこり	nokori
後ろ	うしろ	ushiro
ご飯	ごはん	gohann
喜ぶ	よろこぶ	yorokobu
抜ける	ぬける	nukeru
激しい	はげしい	hageshii
楽しむ	たのしむ	tanoshimu
図る	はかる	hakaru
戦い	たたかい|おののい|そよい	tatakai|ononoi|soyoi
忙しい	いそがしい|せわしい	isogashii|sewashii
減る	へる|べる|める	heru|beru|meru
引越し	ひっこし	hikkoshi
暑い	あつい|あちい	atsui|achii
赤い	あかい	akai
引く	ひく|びく|ぴく	hiku|biku|piku
使い方	つかいかた	tsukaikata
熱い	あつい|あちい	atsui|achii
生じる	しょうじる	shoujiru
任せる	まかせる	makaseru
建てる	たてる|だてる	tateru|dateru
引き	ひき|びき|ぴき	hiki|biki|piki
渡る	わたる	wataru
もう少し	もうすこし	mousukoshi
弱い	よわい	yowai
関わる	かかわる	kakawaru
子育て	こそだて	kosodate
痛み	いたみ	itami
至る	いたる	itaru
頂ける	いただける	itadakeru
隠す	かくす	kakusu
短い	みじかい	mijikai
申し訳	もうしわけ	moushiwake
静か	しずか	shizuka
考え方	かんがえかた	kanngaekata
好み	このみ|ごのみ	konomi|gonomi
広がる	ひろがる	hirogaru
返す	かえす|がえす	kaesu|gaesu
立ち	たち|だち	tachi|dachi
甘い	あまい|うまい	amai|umai
回る	まわる|めぐる	mawaru|meguru
分ける	わける	wakeru
掛け	かけ|がけ	kake|gake
咲く	さく|ざく	saku|zaku
越える	こえる|ごえる	koeru|goeru
始める	はじめる	hajimeru
珍しい	めずらしい	mezurashii
扱い	あつかい|こい|しごい	atsukai|koi|shigoi
悩む	なやむ	nayamu
決して	けっして|けして	kesshite|keshite
何とか	なんとか	nanntoka
避ける	さける|よける	sakeru|yokeru
居る	いる|おる	iru|oru
重い	おもい	omoi
伝わる	つたわる	tsutawaru
お茶	おちゃ	otya
勝ち	かち|がち	kachi|gachi
得る	うる|える	uru|eru
間違う	まちがう|まちごう	machigau|machigou
定める	さだめる	sadameru
当たり	あたり	atari
係る	かかる|かかわる	kakaru|kakawaru
二つ	ふたつ	futatsu
出会う	であう|でおう	deau|deou
登る	のぼる	noboru
手続き	てつづき	tetsuduki
遅れ	おくれ	okure
取り組み	とりくみ	torikumi
足る	たる	taru
辛い	からい|つらい|がらい|づらい	karai|tsurai|garai|durai
問う	とう	tou
取り組む	とりくむ	torikumu
思い出	おもいで|おもいいづ	omoide|omoiidu
分の	ぶんの	bunnno
座る	すわる	suwaru
泣く	なく	naku
行なう	おこなう	okonau
落ち着く	おちつく	ochitsuku
掲げる	かかげる	kakageru
禁じる	きんじる	kinnjiru
投げる	なげる	nageru
終える	おえる	oeru
辺り	あたり	atari
上手い	うまい	umai
寄せ	よせ	yose
巻く	まく	maku
寄る	よる	yoru
代わり	かわり|がわり	kawari|gawari
抱く	いだく|だく	idaku|daku
優れる	すぐれる	sugureru
笑い	わらい	warai
お世話	おせわ	osewa
追う	おう	ou
お互い	おたがい	otagai
喜び	よろこび	yorokobi
気に入る	きにいる	kiniiru
乗り	のり	nori
現れ	あらわれ	araware
漏れ	もれ	more
慣れる	なれる	nareru
働き	はたらき|ばたらき	hataraki|bataraki
手作り	てづくり	tedukuri
挙げる	あげる	ageru
扱う	あつかう|あつこう	atsukau|atsukou
当たり前	あたりまえ	atarimae
載る	のる	noru
怒る	いかる|おこる	ikaru|okoru
切り	きり|ぎり	kiri|giri
助け	たすけ|すけ|だすけ	tasuke|suke|dasuke
初め	はじめ|そめ|ぞめ	hajime|some|zome
遠く	とおく|どおく	tooku|dooku
書き込む	かきこむ	kakikomu
薄い	うすい|うしい	usui|ushii
出かける	でかける	dekakeru
待ち	まち	machi
戦う	たたかう|たたこう	tatakau|tatakou
望む	のぞむ	nozomu
恥ずかしい	はずかしい	hazukashii
我が家	わがや	wagaya
逃げ	にげ	nige
売れ	うれ	ure
目立つ	めだつ	medatsu
触れ	ふれ|さわれ|ぶれ	fure|saware|bure
許す	ゆるす	yurusu
一気に	いっきに	ikkini
悲しい	かなしい|がなしい	kanashii|ganashii
走り	はしり|ばしり|ぱしり	hashiri|bashiri|pashiri
世の中	よのなか	yononaka
近づく	ちかづく	chikaduku
抜く	ぬく	nuku
死ねる	しねる	shineru
細かい	こまかい	komakai
狭い	せまい	semai
改めて	あらためて	aratamete
夏休み	なつやすみ	natsuyasumi
動かす	うごかす	ugokasu
替える	かえる|がえる	kaeru|gaeru
吹く	ふく|ぶく	fuku|buku
込み	こみ|ごみ	komi|gomi
運ぶ	はこぶ	hakobu
お母さん	おかあさん	okaasann
伸び	のび	nobi
勢い	いきおい	ikioi
黒い	くろい|こくい|ぐろい	kuroi|kokui|guroi
気付く	きづく	kiduku
眠る	ねむる|ねる|ねぶる	nemuru|neru|neburu
赤ちゃん	あかちゃん	akatyann
汚れ	けがれ|よごれ|けがれれ	kegare|yogore|kegarere
思わず	おもわず	omowazu
貸し	かし|がし	kashi|gashi
迷う	まよう	mayou
幸い	さいわい|ざいわい	saiwai|zaiwai
驚き	おどろき|きょうき	odoroki|kyouki
役に立つ	やくにたつ	yakunitatsu
もう一度	もういちど	mouichido
負う	おう|おぶう	ou|obuu
別れ	わかれ	wakare
経つ	たつ	tatsu
閉じる	とじる	tojiru
美味い	うまい	umai
愛しい	いとしい	itoshii
寂しい	さびしい|さみしい	sabishii|samishii
組み合わせ	くみあわせ	kumiawase
生かす	いかす	ikasu
調べる	しらべる	shiraberu
定め	さだめ	sadame
頼る	たよる	tayoru
相変わらず	あいかわらず	aikawarazu
巡る	めぐる	meguru
少なくとも	すくなくとも	sukunakutomo
判る	わかる	wakaru
表す	あらわす|ひょうす	arawasu|hyousu
下り	くだり|さがり|おり	kudari|sagari|ori
振る	ふる|ぶる	furu|buru
開き	ひらき|びらき|あき|ぴらき	hiraki|biraki|aki|piraki
早め	はやめ	hayame
下がる	さがる	sagaru
奪う	うばう|うぼう	ubau|ubou
囲む	かこむ	kakomu
お菓子	おかし	okashi
超える	こえる	koeru
向こう	むこう	mukou
増やす	ふやす	fuyasu
何で	なんで	nannde
結ぶ	むすぶ	musubu
解る	わかる|ほどける	wakaru|hodokeru
見直し	みなおし	minaoshi
迫る	せまる|せる	semaru|seru
載せる	のせる	noseru
上げる	あげる	ageru
暗い	くらい|ぐらい	kurai|gurai
晴れ	はれ|はれれ|ばれ	hare|harere|bare
仕上げ	しあげ	shiage
お送り	おおくり	ookuri
ある程度	あるていど	aruteido
育つ	そだつ	sodatsu
幅広い	はばひろい	habahiroi
冷たい	つめたい|つべたい	tsumetai|tsubetai
教える	おしえる	oshieru
贈る	おくる	okuru
倒す	たおす	taosu
重ね	かさね|がさね	kasane|gasane
果たす	はたす	hatasu
外す	はずす|ぱずす	hazusu|pazusu
去る	さる|ざる	saru|zaru
想い	おもい	omoi
間違える	まちがえる	machigaeru
支え	ささえ|かえ|つかえ|つっかえ	sasae|kae|tsukae|tsukkae
出せる	だせる	daseru
振り	ふり|ぶり|ぷり	furi|buri|puri
上がり	あがり	agari
占い	うらない	uranai
取扱い	とりあつかい	toriatsukai
伸ばす	のばす	nobasu
防ぐ	ふせぐ	fusegu
込める	こめる|ごめる	komeru|gomeru
振り返る	ふりかえる	furikaeru
我が	わが	waga
同じく	おなじく	onajiku
お疲れ様	おつかれさま	otsukaresama
張る	はる|ばる|ぱる	haru|baru|paru
青い	あおい	aoi
向き	むき	muki
放つ	はなつ	hanatsu
暖かい	あたたかい	atatakai
お伝え	おつたえ	otsutae
見つめる	みつめる	mitsumeru
受け取る	うけとる	uketoru
設け	もうけ	mouke
備え	そなえ|ぞなえ	sonae|zonae
学び	まなび|まねび	manabi|manebi
味わう	あじわう	ajiwau
食べ物	たべもの	tabemono
遠い	とおい|どおい	tooi|dooi
揚げる	あげる	ageru
書ける	かける	kakeru
実に	じつに|まことに|げに	jitsuni|makotoni|geni
単に	たんに	tannni
明け	あけ	ake
受け入れ	うけいれ	ukeire
亡くなる	なくなる	nakunaru
怒り	いかり|おこり	ikari|okori
乗せる	のせる	noseru
努める	つとめる	tsutomeru
有する	ゆうする	yuusuru
広げる	ひろげる|ぴろげる	hirogeru|pirogeru
寝る	ねる|しずまる|ぬる	neru|shizumaru|nuru
無くなる	なくなる	nakunaru
下げ	さげ	sage
倒れる	たおれる|だおれる	taoreru|daoreru
掛かる	かかる|がかる	kakaru|gakaru
壊れる	こわれる	kowareru
越す	こす	kosu
辞める	やめる	yameru
演じる	えんじる	ennjiru
本当は	ほんとうは	honntouha
訴え	うったえ	uttae
取り寄せる	とりよせる	toriyoseru
植える	うえる	ueru
並べる	ならべる	naraberu
誘う	いざなう|さそう|いざのう	izanau|sasou|izanou
取り上げ	とりあげ	toriage
回り	まわり|めぐり	mawari|meguri
仕組み	しくみ	shikumi
効く	きく	kiku
向い	むかい|むい	mukai|mui
伝える	つたえる	tsutaeru
輝く	かがやく	kagayaku
込む	こむ|ごむ	komu|gomu
焼く	やく|たく	yaku|taku
組む	くむ|ぐむ	kumu|gumu
濃い	こい	koi
見かけ	みかけ	mikake
折る	おる	oru
味わい	あじわい	ajiwai
踊り	おどり	odori
絞る	しぼる	shiboru
飾る	かざる	kazaru
流れる	ながれる	nagareru
飛ばす	とばす	tobasu
保つ	たもつ|もつ	tamotsu|motsu
踊る	おどる	odoru
踏む	ふむ|ぶむ	fumu|bumu
抱え	かかえ	kakae
包む	つつむ|くるむ	tsutsumu|kurumu
救う	すくう	sukuu
入り口	いりくち|いりぐち|はいりぐち	irikuchi|iriguchi|hairiguchi
襲う	おそう	osou
泣き	なき	naki
増える	ふえる	fueru
恐れ	おそれ|おそれれ	osore|osorere
吸う	すう	suu
荒らす	あらす	arasu
受け付け	うけつけ	uketsuke
引き続き	ひきつづき	hikitsuduki
抜き	ぬき	nuki
弾く	はじく|ひく|びく	hajiku|hiku|biku
渡し	わたし	watashi
頼む	たのむ	tanomu
付ける	つける|づける	tsukeru|dukeru
見た目	みため	mitame
勘違い	かんちがい	kannchigai
着い	ちゃくい|つい	tyakui|tsui
速い	はやい|ばやい	hayai|bayai
細い	こまかい|ほそい|ぼそい|こまい	komakai|hosoi|bosoi|komai
拾う	ひろう|びろう	hirou|birou
当て	あて	ate
飼う	かう|がう|こう	kau|gau|kou
盛り上がる	もりあがる	moriagaru
ご存知	ごぞんじ	gozonnji
着く	つく	tsuku
抑え	おさえ	osae
お出かけ	おでかけ	odekake
直し	なおし	naoshi
整う	ととのう	totonou
決める	きめる|ぎめる	kimeru|gimeru
お父さん	おとうさん	otousann
申す	もうす	mousu
参る	まいる	mairu
造り	つくり|づくり	tsukuri|dukuri
高め	たかめ	takame
意外と	いがいと	igaito
叫ぶ	さけぶ	sakebu
登り	のぼり	nobori
有難う	ありがとう|ありがたう	arigatou|arigatau
日帰り	ひがえり	higaeri
絡む	からむ	karamu
難い	かたい|がたい|むずかしい|にくい|にきい	katai|gatai|muzukashii|nikui|nikii
休む	やすむ	yasumu
活かす	いかす	ikasu
並び	ならび	narabi
選べる	えらべる	eraberu
知り合い	しりあい	shiriai
正しく	ただしく|まさしく	tadashiku|masashiku
思える	おもえる	omoeru
お昼	おひる	ohiru
予め	あらかじめ	arakajime
積む	つむ|づむ	tsumu|dumu
急ぐ	いそぐ	isogu
承る	うけたまわる	uketamawaru
下る	くだる|おりる|さがる	kudaru|oriru|sagaru
恐ろしい	おそろしい	osoroshii
極めて	きわめて	kiwamete
満たす	みたす	mitasu
引っ張る	ひっぱる	hipparu
疑い	うたがい	utagai
空く	あく|すく|むなしく	aku|suku|munashiku
隠れ	かくれ|こもれ|かくれれ|がくれ	kakure|komore|kakurere|gakure
埋める	うずめる|うめる	uzumeru|umeru
及ぶ	およぶ	oyobu
落ちる	おちる	ochiru
伺い	うかがい	ukagai
守り	もり|まもり	mori|mamori
消し	けし	keshi
洗う	あらう|あろう	arau|arou
占める	しめる|じめる	shimeru|jimeru
共に	ともに	tomoni
攻め	せめ|ぜめ	seme|zeme
削る	けずる|はつる	kezuru|hatsuru
やる気	やるき	yaruki
回し	まわし	mawashi
混ぜる	まぜる	mazeru
取り付け	とりつけ	toritsuke
お答え	おこたえ	okotae
間に合う	まにあう|まにおう	maniau|maniou
付き合い	つきあい|づきあい	tsukiai|dukiai
飽き	あき	aki
減らす	へらす	herasu
並びに	ならびに	narabini
治る	なおる|おさまる	naoru|osamaru
やり方	やりかた	yarikata
温かい	あたたかい	atatakai
記す	しるす|きす	shirusu|kisu
単なる	たんなる	tannnaru
真ん中	まんなか	mannnaka
聞ける	きける	kikeru
上る	のぼる|あがる|あげる	noboru|agaru|ageru
男の子	おとこのこ	otokonoko
控え	ひかえ|びかえ	hikae|bikae
柔らかい	やわらかい	yawarakai
付き合う	つきあう|つきおう	tsukiau|tsukiou
お子様	おこさま	okosama
耐え	たえ	tae
誇る	ほこる	hokoru
仕掛け	しかけ|じかけ	shikake|jikake
成る	なる	naru
通し	とおし|どおし	tooshi|dooshi
構う	かまう|かもう	kamau|kamou
通じ	つうじ	tsuuji
恵まれる	めぐまれる	megumareru
探せる	さがせる	sagaseru
吐く	はく|つく	haku|tsuku
何故か	なぜか	nazeka
申込む	もうしこむ	moushikomu
助かる	たすかる	tasukaru
盛る	もる|さかる	moru|sakaru
生き物	いきもの	ikimono
苦しい	くるしい|ぐるしい	kurushii|gurushii
余り	あまり	amari
お礼	おれい	orei
黙る	だまる	damaru
光る	ひかる	hikaru
仲良く	なかよく	nakayoku
見積もり	みつもり	mitsumori
添える	そえる|ぞえる	soeru|zoeru
集まり	あつまり	atsumari
担う	になう|にのう	ninau|ninou
行ける	いける|ゆける	ikeru|yukeru
浮かぶ	うかぶ	ukabu
訪ねる	たずねる	tazuneru
狩り	かり|がり	kari|gari
生き方	いきかた	ikikata
飾り	かざり	kazari
愛する	あいする	aisuru
生み出す	うみだす	umidasu
支払う	しはらう|しはろう	shiharau|shiharou
殴る	なぐる	naguru
応え	いらえ|こたえ|ごたえ	irae|kotae|gotae
塗る	ぬる	nuru
従う	したがう|したごう	shitagau|shitagou
古く	ふるく	furuku
問い合せる	といあわせる	toiawaseru
握る	にぎる	nigiru
奥さん	おくさん	okusann
割れる	われる	wareru
似合う	にあう|におう	niau|niou
引き出す	ひきだす	hikidasu
触る	さわる|ふる	sawaru|furu
造る	つくる|づくる	tsukuru|dukuru
見守る	みまもる	mimamoru
色んな	いろんな	ironnna
加わる	くわわる	kuwawaru
尽くす	つくす	tsukusu
漂う	ただよう	tadayou
掘る	ほる	horu
お湯	おゆ	oyu
燃える	もえる	moeru
外れ	はずれ	hazure
試み	こころみ	kokoromi
塗り	ぬり	nuri
生える	はえる|ばえる	haeru|baeru
愛す	あいす	aisu
若しくは	もしくは|もしくわ	moshikuha|moshikuwa
お笑い	おわらい	owarai
慌てる	あわてる	awateru
出来上がる	できあがる	dekiagaru
分かれ	わかれ	wakare
施す	ほどこす	hodokosu
達す	たっす	tassu
壊す	こわす	kowasu
祈る	いのる	inoru
悔しい	くやしい	kuyashii
間取り	まどり	madori
お越し	おこし	okoshi
誤り	あやまり	ayamari
浴びる	あびる	abiru
取り扱う	とりあつかう|とりあつこう	toriatsukau|toriatsukou
許し	ゆるし	yurushi
咲き	さき|ざき	saki|zaki
上り	あがり|のぼり	agari|nobori
突っ込む	つっこむ	tsukkomu
お祝い	おいわい	oiwai
増し	まし|ぞうし	mashi|zoushi
生まれる	うまれる	umareru
広がり	ひろがり	hirogari
解く	とく|ほどく	toku|hodoku
祈り	いのり	inori
姉さん	あねさん|ねえさん	anesann|neesann
っ子	っこ	kko
作り方	つくりかた	tsukurikata
詰め	つめ|づめ	tsume|dume
危ない	あぶない	abunai
招く	まねく	maneku
この間	このあいだ|このかん	konoaida|konokann
映る	うつる	utsuru
見通し	みとおし	mitooshi
移す	うつす	utsusu
尋ねる	たずねる	tazuneru
張り	はり|ばり|ぱり	hari|bari|pari
御座い	ござい	gozai
創る	つくる|づくる	tsukuru|dukuru
後で	あとで|うしろで	atode|ushirode
取り入れ	とりいれ	toriire
荒れる	あれる	areru
笑える	わらえる	waraeru
築く	きずく|つく|づく	kizuku|tsuku|duku
持てる	もてる	moteru
立ち寄る	たちよる	tachiyoru
手入れ	ていれ	teire
満ちる	みちる	michiru
踏まえる	ふまえる	fumaeru
高める	たかめる	takameru
何より	なにより	naniyori
穏やか	おだやか	odayaka
見積り	みつもり	mitsumori
響く	ひびく	hibiku
疑う	うたがう|うたごう	utagau|utagou
答える	こたえる|ごたえる	kotaeru|gotaeru
何だか	なんだか	nanndaka
重なる	かさなる	kasanaru
及ぼす	およぼす	oyobosu
深める	ふかめる	fukameru
断る	ことわる	kotowaru
暮らす	くらす	kurasu
怪しい	あやしい|けしい	ayashii|keshii
この世	このよ	konoyo
響き	ひびき	hibiki
易い	やすい|やしい	yasui|yashii
固い	かたい	katai
その間	そのかん	sonokann
高まる	たかまる	takamaru
導く	みちびく	michibiku
仕入れ	しいれ|しいれれ	shiire|shiirere
乗り換え	のりかえ	norikae
巻き込む	まきこむ	makikomu
大いに	おおいに	ooini
誠に	まことに	makotoni
混む	こむ|ごむ	komu|gomu
泊まる	とまる	tomaru
お手伝い	おてつだい	otetsudai
数える	かぞえる	kazoeru
汚い	きたない|ぎたない	kitanai|gitanai
曲がる	まがる	magaru
渡す	わたす	watasu
読み取る	よみとる	yomitoru
務め	つとめ	tsutome
崩れ	くずれ|くずれれ|かむあがれ	kuzure|kuzurere|kamuagare
三つ	みっつ	mittsu
あり方	ありかた	arikata
興味深い	きょうみぶかい	kyoumibukai
絞り込む	しぼりこむ	shiborikomu
立てる	たてる|だてる	tateru|dateru
被る	かぶる|こうむる|かむる	kaburu|koumuru|kamuru
現れる	あらわれる	arawareru
並み	なみ	nami
祝い	いわい|ほがい|ほい	iwai|hogai|hoi
切り替え	きりかえ	kirikae
返る	かえる|がえる	kaeru|gaeru
支える	ささえる|つかえる|つっかえる	sasaeru|tsukaeru|tsukkaeru
仮に	かりに	karini
割り	わり	wari
破る	やぶる|わる|やる	yaburu|waru|yaru
覆う	おおう	oou
上回る	うわまわる	uwamawaru
最寄り駅	もよりえき	moyorieki
数多い	かずおおい	kazuooi
鮮やか	あざやか	azayaka
心から	こころから	kokorokara
撃つ	うつ|ぶつ	utsu|butsu
酔う	よう|えう	you|eu
誇り	ほこり|ぼこり	hokori|bokori
採る	とる|どる	toru|doru
止める	とどめる|とめる|やめる|どめる	todomeru|tomeru|yameru|domeru
配る	くばる	kubaru
争い	あらそい|あらがい	arasoi|aragai
書き方	かきかた	kakikata
見上げる	みあげる	miageru
果たして	はたして	hatashite
要る	いる	iru
詰まる	つまる|づまる	tsumaru|dumaru
確かめる	たしかめる	tashikameru
崩す	くずす	kuzusu
飛び出す	とびだす	tobidasu
通う	かよう|がよう	kayou|gayou
皆さま	みなさま	minasama
お寺	おてら	otera
立ち上がる	たちあがる	tachiagaru
下ろす	おろす	orosu
騒ぐ	さわぐ	sawagu
反する	はんする	hannsuru
何らかの	なんらかの	nannrakano
お盆	おぼん	obonn
太る	ふとる|ぶとる	futoru|butoru
済ませる	すませる	sumaseru
引っ越し	ひっこし	hikkoshi
手伝い	てつだい	tetsudai
呼びかける	よびかける	yobikakeru
干す	ほす|ぼす	hosu|bosu
言い方	いいかた	iikata
思いつく	おもいつく	omoitsuku
混じる	こんじる|まじる	konnjiru|majiru
適す	てきす	tekisu
旨い	うまい	umai
促す	うながす	unagasu
か月	かげつ	kagetsu
注ぐ	そそぐ|つぐ	sosogu|tsugu
眠い	ねむい|ねみい	nemui|nemii
構え	かまえ|がまえ	kamae|gamae
取れる	とれる	toreru
兄ちゃん	にいちゃん	niityann
半ば	なかば	nakaba
買える	かえる	kaeru
探る	さぐる|さがせる	saguru|sagaseru
揺れ	ゆれ	yure
観る	みる	miru
兄さん	にいさん	niisann
笑み	えみ	emi
預かる	あずかる	azukaru
消す	けす	kesu
幼い	おさない|いとけない	osanai|itokenai
触れる	ふれる|ぶれる|さわれる	fureru|bureru|sawareru
流行る	はやる	hayaru
あっという間に	あっというまに	attoiumani
贈り物	おくりもの	okurimono
移る	うつる	utsuru
例える	たとえる	tatoeru
舞う	まう|もう	mau|mou
召し上がる	めしあがる	meshiagaru
要するに	ようするに	yousuruni
いつの間にか	いつのまにか	itsunomanika
染め	そめ|ぞめ|しめ	some|zome|shime
逃げる	にげる	nigeru
問い	とい|どい	toi|doi
脱ぐ	ぬぐ	nugu
謝る	あやまる	ayamaru
言い訳	いいわけ	iiwake
固め	かため|がため	katame|gatame
浮かべる	うかべる	ukaberu
取り出し	とりだし	toridashi
習う	ならう|なろう	narau|narou
見出し	みだし|みいだし	midashi|miidashi
硬い	かたい	katai
頼り	たより|だより	tayori|dayori
必ずしも	かならずしも	kanarazushimo
伺う	うかがう|うかごう	ukagau|ukagou
輝き	かがやき	kagayaki
背負う	しょう|せおう	shou|seou
未だに	いまだに	imadani
曇る	くもる	kumoru
追いかける	おいかける	oikakeru
称す	しょうす	shousu
丸い	まるい|まりい	marui|marii
勤め	つとめ|づとめ	tsutome|dutome
散る	ちる|あかる	chiru|akaru
お断り	おことわり	okotowari
著しい	いちじるしい	ichijirushii
写る	うつる	utsuru
未だ	いまだ|まだ	imada|mada
育ち	そだち	sodachi
苦しむ	くるしむ	kurushimu
鍛える	きたえる	kitaeru
負ける	まける	makeru
泳ぐ	およぐ	oyogu
携わる	たずさわる	tazusawaru
犯す	おかす	okasu
収める	おさめる	osameru
建つ	たつ|だつ	tatsu|datsu
心がけ	こころがけ	kokorogake
腐る	くさる	kusaru
次第に	しだいに	shidaini
太い	ふとい|ぶとい	futoi|butoi
思いっきり	おもいっきり	omoikkiri
厚い	あつい|こうい|あちい	atsui|koui|achii
何となく	なんとなく	nanntonaku
沈む	しずむ	shizumu
盛り上がり	もりあがり	moriagari
打ち合わせ	うちあわせ	uchiawase
有す	ゆうす	yuusu
照らす	てらす	terasu
押さえ	おさえ	osae
治す	なおす|しろす	naosu|shirosu
何とも	なんとも	nanntomo
組み	くみ|ぐみ	kumi|gumi
割る	わる|われる	waru|wareru
受け止める	うけとめる	uketomeru
空き	あき|くうき|すき|むなしき	aki|kuuki|suki|munashiki
心地よい	ここちよい	kokochiyoi
我が国	わがくに	wagakuni
浅い	あさい	asai
仕立て	したて|じたて	shitate|jitate
励ます	はげます	hagemasu
乗り越える	のりこえる	norikoeru
利く	きく	kiku
眠り	ねむり|ねぶり	nemuri|neburi
要する	ようする	yousuru
兼ねる	かねる	kaneru
独り言	ひとりごと	hitorigoto
刻む	きざむ	kizamu
固まる	かたまる	katamaru
今や	いまや|こんや	imaya|konnya
気持ちよい	きもちよい	kimochiyoi
いい加減	いいかげん	iikagenn
直す	なおす	naosu
鋭い	するどい|すすどい|とい	surudoi|susudoi|toi
締め	しめ|じめ	shime|jime
如く	ごとく|しく	gotoku|shiku
盛ん	さかん|もん	sakann|monn
恐らく	おそらく	osoraku
離す	はなす	hanasu
滑る	すべる|ぬめる	suberu|numeru
読める	よめる	yomeru
果て	はて	hate
好む	このむ	konomu
前向き	まえむき	maemuki
黄色い	きいろい	kiiroi
見比べる	みくらべる	mikuraberu
鳴る	なる	naru
お好み焼き	おこのみやき	okonomiyaki
真っ赤	まっか	makka
年寄り	としより|どしより	toshiyori|doshiyori
仕上がり	しあがり	shiagari
目覚め	めざめ	mezame
在る	ある	aru
有り難い	ありがたい	arigatai
覚める	さめる|ざめる	sameru|zameru
奴ら	やつら	yatsura
代わる	かわる|がわる	kawaru|gawaru
浮く	うく	uku
飲み物	のみもの	nomimono
成り立つ	なりたつ	naritatsu
微笑む	ほほえむ|ほおえむ	hohoemu|hooemu
冷え	ひえ|びえ|つめてえ|つべてえ	hie|bie|tsumetee|tsubetee
手伝う	てつだう|てつどう	tetsudau|tetsudou
属する	ぞくする|しょくする	zokusuru|shokusuru
何と	なんと	nannto
膨らむ	ふくらむ	fukuramu
名乗る	なのる	nanoru
金持ち	かねもち|がねもち	kanemochi|ganemochi
相次ぐ	あいつぐ	aitsugu
蒸す	ふかす|むす	fukasu|musu
譲る	ゆずる	yuzuru
悲しみ	かなしみ	kanashimi
片付け	かたづけ	kataduke
迷い	まよい	mayoi
繰り広げる	くりひろげる	kurihirogeru
含み	ふくみ|ぶくみ|ぐみ	fukumi|bukumi|gumi
叫び	さけび	sakebi
斜め	ななめ	naname
見よい	みよい	miyoi
二度と	にどと	nidoto
敷く	しく	shiku
買い上げ	かいあげ	kaiage
遊べる	あそべる	asoberu
苦しみ	くるしみ	kurushimi
一人暮らし	ひとりぐらし	hitorigurashi
話しかける	はなしかける	hanashikakeru
お話し	おはなし	ohanashi
打ち上げる	うちあげる	uchiageru
唱える	となえる	tonaeru
売れる	うれる	ureru
運び	はこび	hakobi
お子さん	おこさん	okosann
炊く	たく|だく	taku|daku
関わり	かかわり	kakawari
お正月	おしょうがつ	oshougatsu
お買い得	おかいどく	okaidoku
作れる	つくれる	tsukureru
接す	せっす	sessu
盛り上げる	もりあげる	moriageru
差し	さし|ざし	sashi|zashi
冷やす	ひやす	hiyasu
田んぼ	たんぼ	tannbo
直ぐ	すぐ	sugu
話し合い	はなしあい	hanashiai
焦る	あせる|こげる	aseru|kogeru
売り上げ	うりあげ	uriage
傷つける	きずつける	kizutsukeru
受け取り	うけとり	uketori
友だち	ともだち	tomodachi
指し	さし|ざし	sashi|zashi
お手数	おてかず|おてすう	otekazu|otesuu
やって来る	やってくる	yattekuru
救い	すくい	sukui
勝てる	かてる	kateru
縛る	しばる|じばる	shibaru|jibaru
持ち込む	もちこむ	mochikomu
遭う	あう|おう	au|ou
乗り込む	のりこむ	norikomu
飼い主	かいぬし	kainushi
天ぷら	てんぷら	tennpura
臨む	のぞむ	nozomu
受け継ぐ	うけつぐ	uketsugu
柔らか	やわらか	yawaraka
収まる	おさまる	osamaru
時に	ときに	tokini
賢い	かしこい	kashikoi
説く	とく	toku
大した	たいした	taishita
告げ	つげ	tsuge
許せる	ゆるせる	yuruseru
裏切る	うらぎる	uragiru
わが国	わがくに	wagakuni
引き上げ	ひきあげ	hikiage
気持ちいい	きもちいい	kimochiii
指す	さす|ざす	sasu|zasu
華やか	はなやか	hanayaka
鳴らす	ならす	narasu
着替え	きがえ|きかえ	kigae|kikae
見込み	みこみ	mikomi
誤る	あやまる	ayamaru
学べる	まなべる	manaberu
通す	とおす|どおす	toosu|doosu
取り除く	とりのぞく	torinozoku
売り切れ	うりきれ	urikire
回す	まわす	mawasu
結び	むすび|けつび	musubi|ketsubi
引き起こす	ひきおこす	hikiokosu
狂う	くるう	kuruu
集める	あつめる	atsumeru
互いに	たがいに	tagaini
切ない	せつない	setsunai
逃す	にがす|のがす	nigasu|nogasu
駆ける	かける|がける	kakeru|gakeru
髪の毛	かみのけ	kaminoke
動ける	うごける	ugokeru
情けない	なさけない	nasakenai
騒ぎ	さわぎ	sawagi
納める	おさめる	osameru
洗い	あらい|すすい	arai|susui
群れ	むれ|むらがれ	mure|muragare
飛び込む	とびこむ	tobikomu
打てる	うてる	uteru
過ごせる	すごせる	sugoseru
望み	のぞみ	nozomi
力強い	ちからづよい	chikaraduyoi
滑り	すべり|ぬめり	suberi|numeri
お祈り	おいのり	oinori
暫く	しばらく	shibaraku
作り出す	つくりだす	tsukuridasu
着る	きる	kiru
溶け	とけ|どけ	toke|doke
抑える	おさえる	osaeru
見逃し	みのがし	minogashi
暴れ	あばれ	abare
捕まる	つかまる|づかまる	tsukamaru|dukamaru
写し	うつし	utsushi
刺す	さす	sasu
見舞い	みまい	mimai
伸びる	のびる	nobiru
通い	かよい|がよい	kayoi|gayoi
闘い	たたかい	tatakai
従って	したがって	shitagatte
