紹介	しょうかい	shoukai
処罰	しょばつ	shobatsu
初恋	はつこい	hatsukoi
致命	ちめい	chimei
遠距離	えんきょり	ennkyori
一端	いったん|いっぱし	ittann|ippashi
引渡し	ひきわたし	hikiwatashi
困惑	こんわく	konnwaku
貸与	たいよ	taiyo
本殿	ほんでん	honndenn
提訴	ていそ	teiso
震える	ふるえる	furueru
歳出	さいしゅつ	saishutsu
執事	しつじ	shitsuji
獲物	えもの	emono
恐る	おそれる|おそる	osoreru|osoru
特攻	とっこう	tokkou
生殖	せいしょく	seishoku
洋菓子	ようがし	yougashi
河川敷	かせんしき	kasennshiki
暇つぶし	ひまつぶし	himatsubushi
右腕	うわん|みぎうで	uwann|migiude
振る舞い	ふるまい|ぶるまい	furumai|burumai
熱狂	ねっきょう	nekkyou
罰則	ばっそく	bassoku
坊さん	ぼうさん	bousann
薄める	うすめる	usumeru
泊まれる	とまれる	tomareru
準拠	じゅんきょ	junnkyo
寝かせる	ねかせる	nekaseru
戸惑い	とまどい	tomadoi
匹敵	ひってき	hitteki
前髪	まえがみ	maegami
微細	びさい	bisai
不透明	ふとうめい	futoumei
激怒	げきど	gekido
手渡し	てわたし	tewatashi
鮮魚	せんぎょ	senngyo
取り替える	とりかえる	torikaeru
絶叫	ぜっきょう	zekkyou
意気込み	いきごみ	ikigomi
健闘	けんとう	kenntou
寄り添う	よりそう	yorisou
沈める	しずめる	shizumeru
狂言	きょうげん	kyougenn
狩る	かる	karu
見渡せる	みわたせる	miwataseru
師範	しはん	shihann
激突	げきとつ	gekitotsu
微か	かすか	kasuka
歳入	さいにゅう	sainyuu
取り込み	とりこみ	torikomi
絶縁	ぜつえん	zetsuenn
爆破	ばくは	bakuha
抗生	こうせい	kousei
絵描き	えかき	ekaki
趣向	しゅこう	shukou
老朽	ろうきゅう	roukyuu
脱退	だったい	dattai
抜本	ばっぽん	bapponn
沈み	しずみ	shizumi
合致	がっち	gacchi
読み込む	よみこむ	yomikomu
征服	せいふく	seifuku
闘病	とうびょう	toubyou
水彩	すいさい	suisai
離せる	はなせる	hanaseru
兼ね備える	かねそなえる	kanesonaeru
後払い	あとばらい|ごばらい	atobarai|gobarai
駆け抜ける	かけぬける	kakenukeru
赤ん坊	あかんぼう|あかんぼ	akannbou|akannbo
すれ違い	すれちがい	surechigai
恐れ入る	おそれいる	osoreiru
寝不足	ねぶそく	nebusoku
歳月	さいげつ	saigetsu
浸す	ひたす|びたす	hitasu|bitasu
脱却	だっきゃく	dakkyaku
尽きる	つきる	tsukiru
溶解	ようかい	youkai
連峰	れんぽう	rennpou
左腕	さわん|ひだりうで	sawann|hidariude
家紋	かもん	kamonn
切り替える	きりかえる	kirikaeru
抱きつく	だきつく	dakitsuku
耐熱	たいねつ	tainetsu
摘み	つまみ|つみ	tsumami|tsumi
更年期	こうねんき	kounennki
書き込める	かきこめる	kakikomeru
逃避	とうひ	touhi
住環境	じゅうかんきょう	juukannkyou
小柄	こがら|こづか	kogara|koduka
脂質	ししつ	shishitsu
詰まり	つまり|づまり	tsumari|dumari
後押し	あとおし	atooshi
先駆け	さきがけ	sakigake
流れ込む	ながれこむ	nagarekomu
増幅	ぞうふく	zoufuku
扇風機	せんぷうき	sennpuuki
占う	うらなう|うらのう	uranau|uranou
香料	こうりょう	kouryou
頼もしい	たのもしい	tanomoshii
買い替え	かいかえ	kaikae
溶液	ようえき	youeki
吸血鬼	きゅうけつき	kyuuketsuki
詰め合わせ	つめあわせ	tsumeawase
出陣	しゅつじん	shutsujinn
弾丸	だんがん	danngann
略称	りゃくしょう	ryakushou
浮遊	ふゆう	fuyuu
狂い	くるい|ぐるい	kurui|gurui
本拠地	ほんきょち	honnkyochi
押し込む	おしこむ	oshikomu
奥行き	おくゆき	okuyuki
溶け込む	とけこむ	tokekomu
盆踊り	ぼんおどり	bonnodori
山奥	やまおく	yamaoku
抜け毛	ぬけげ	nukege
監禁	かんきん	kannkinn
透過	とうか	touka
違える	たがえる|ちがえる	tagaeru|chigaeru
生き抜く	いきぬく	ikinuku
義援金	ぎえんきん	giennkinn
落ち込み	おちこみ	ochikomi
闘士	とうし	toushi
占拠	せんきょ	sennkyo
気遣い	きづかい	kidukai
紋章	もんしょう	monnshou
傾げる	かしげる|かたげる	kashigeru|katageru
歳暮	せいぼ|さいぼ	seibo|saibo
飛び込み	とびこみ	tobikomi
即位	そくい	sokui
腐食	ふしょく	fushoku
離乳食	りにゅうしょく	rinyuushoku
床下	ゆかした	yukashita
未婚	みこん	mikonn
切り替わる	きりかわる	kirikawaru
摘発	てきはつ	tekihatsu
末端	まったん	mattann
吹き出す	ふきだす	fukidasu
童謡	どうよう	douyou
再婚	さいこん	saikonn
微笑ましい	ほほえましい	hohoemashii
戯れる	ざれる|たわむれる|じゃれる	zareru|tawamureru|jareru
過敏	かびん	kabinn
戯言	ざれごと|たわこと|たわごと	zaregoto|tawakoto|tawagoto
称する	しょうする	shousuru
吹き込む	ふきこむ	fukikomu
嘆き	なげき	nageki
輩出	はいしゅつ	haishutsu
飲み込む	のみこむ	nomikomu
撃退	げきたい	gekitai
所為	しょい|せい	shoi|sei
浸水	しんすい	shinnsui
捕手	とりて|ほしゅ	torite|hoshu
需給	じゅきゅう	jukyuu
通り抜ける	とおりぬける	toorinukeru
放り込む	ほうりこむ	hourikomu
撃沈	げきちん	gekichinn
寄稿	きこう	kikou
即決	そっけつ	sokketsu
倒壊	とうかい	toukai
添乗	てんじょう	tennjou
投影	とうえい	touei
突出	とっしゅつ|つきで	tosshutsu|tsukide
肩書き	かたがき	katagaki
発端	ほったん	hottann
隠居	いんきょ	innkyo
人影	ひとかげ	hitokage
露店	ろてん	rotenn
年越し	としこし	toshikoshi
駆る	かる	karu
悪戯	あくぎ|いたずら	akugi|itazura
病床	びょうしょう	byoushou
惨敗	ざんぱい	zannpai
途方	とほう	tohou
触り	さわり|ざわり|ふり	sawari|zawari|furi
露骨	ろこつ	rokotsu
突起	とっき	tokki
占有	せんゆう	sennyuu
心療内科	しんりょうないか	shinnryounaika
御用	ごよう	goyou
樹齢	じゅれい	jurei
脂肪酸	しぼうさん	shibousann
弾性	だんせい	dannsei
見逃せる	みのがせる	minogaseru
姓名	せいめい	seimei
両端	りょうたん|りょうはし|りょうはじ	ryoutann|ryouhashi|ryouhaji
巨額	きょがく	kyogaku
入れ替わる	いれかわる	irekawaru
摘む	つまむ|つむ	tsumamu|tsumu
突きつける	つきつける	tsukitsukeru
躍進	やくしん	yakushinn
胴体	どうたい	doutai
脱衣	だつい	datsui
被写体	ひしゃたい	hishatai
香る	かおる	kaoru
初旬	しょじゅん	shojunn
出稿	しゅっこう	shukkou
乾かす	かわかす	kawakasu
賞与	しょうよ	shouyo
両替	りょうがえ	ryougae
依然	いぜん	izenn
震源	しんげん	shinngenn
隣人	りんじん	rinnjinn
迫害	はくがい	hakugai
告訴	こくそ	kokuso
依る	よる	yoru
振り込む	ふりこむ	furikomu
御社	おんしゃ	onnsha
吹き抜け	ふきぬけ	fukinuke
踏み切る	ふみきる	fumikiru
溶岩	ようがん	yougann
鼓動	こどう	kodou
仮眠	かみん	kaminn
紙芝居	かみしばい	kamishibai
奥義	おうぎ|おくぎ	ougi|okugi
脱税	だつぜい	datsuzei
押しつけ	おしつけ	oshitsuke
屈折	くっせつ	kussetsu
建て替え	たてかえ	tatekae
販売元	はんばいもと	hannbaimoto
迎撃	げいげき	geigeki
異端	いたん	itann
大粒	おおつぶ	ootsubu
微量	びりょう	biryou
押さえる	おさえる	osaeru
傾き	かたむき|かたぶき	katamuki|katabuki
攻勢	こうせい	kousei
先駆	せんく|さきがけ	sennku|sakigake
濁り	にごり	nigori
脱落	だつらく	datsuraku
弾む	はずむ	hazumu
抗争	こうそう	kousou
舞踏	ぶとう	butou
逆襲	ぎゃくしゅう	gyakushuu
市況	しきょう	shikyou
触手	しょくしゅ	shokushu
駆け寄る	かけよる	kakeyoru
皮脂	ひし	hishi
主旨	しゅし	shushi
乗り継ぎ	のりつぎ	noritsugi
抜かす	ぬかす	nukasu
摘出	てきしゅつ	tekishutsu
幾何	きか	kika
脱走	だっそう	dassou
即す	そくす	sokusu
突発	とっぱつ	toppatsu
割り込む	わりこむ	warikomu
拓く	ひらく	hiraku
巡査	じゅんさ	junnsa
恥じる	はじる	hajiru
丹念	たんねん	tannnenn
蓄え	たくわえ	takuwae
隠せる	かくせる	kakuseru
採掘	さいくつ	saikutsu
煮る	にる	niru
対称	たいしょう	taishou
外為	がいため	gaitame
指紋	しもん	shimonn
曇り空	くもりぞら	kumorizora
踏ん張る	ふんばる	funnbaru
描画	びょうが	byouga
通り越す	とおりこす	toorikosu
かけ離れる	かけはなれる	kakehanareru
浮世絵	うきよえ	ukiyoe
右肩	みぎかた	migikata
製菓	せいか	seika
敷居	しきい	shikii
呼び込む	よびこむ	yobikomu
引き渡し	ひきわたし	hikiwatashi
殿様	とのさま	tonosama
脱力	だつりょく	datsuryoku
監理	かんり	kannri
突進	とっしん|つきすすめ	tosshinn|tsukisusume
騒がしい	さわがしい	sawagashii
掘り下げる	ほりさげる	horisageru
舞台裏	ぶたいうら	butaiura
祈念	きねん	kinenn
釈放	しゃくほう	shakuhou
即効	そっこう	sokkou
希薄	きはく	kihaku
透き通る	すきとおる	sukitooru
恐れる	おそれる	osoreru
間抜け	まぬけ	manuke
煙突	えんとつ	enntotsu
旧暦	きゅうれき	kyuureki
憶測	おくそく	okusoku
惑わす	まどわす	madowasu
茶髪	ちゃぱつ	tyapatsu
発狂	はっきょう	hakkyou
西暦	せいれき	seireki
奴等	やつら	yatsura
眠れる	ねむれる	nemureru
波紋	はもん	hamonn
波及	はきゅう	hakyuu
逃れる	のがれる	nogareru
濁る	にごる	nigoru
毛髪	もうはつ	mouhatsu
致死	ちし	chishi
息抜き	いきぬき	ikinuki
壁画	へきが	hekiga
薄型	うすがた	usugata
躍動	やくどう	yakudou
発砲	はっぽう	happou
拠出	きょしゅつ	kyoshutsu
弾ける	はじける|ひける	hajikeru|hikeru
尋問	じんもん	jinnmonn
離職	りしょく	rishoku
三脚	さんきゃく	sannkyaku
即興	そっきょう	sokkyou
漁獲	ぎょかく	gyokaku
寝坊	ねぼう	nebou
珍味	ちんみ	chinnmi
突き進む	つきすすむ	tsukisusumu
踊り子	おどりこ	odoriko
途絶える	とだえる	todaeru
居眠り	いねむり	inemuri
咲き誇る	さきほこる	sakihokoru
抱負	ほうふ	houfu
誤爆	ごばく	gobaku
見込める	みこめる	mikomeru
模範	もはん	mohann
躍る	おどる	odoru
空欄	くうらん	kuurann
社殿	しゃでん	shadenn
失恋	しつれん	shitsurenn
住み替える	すみかえる	sumikaeru
脱水	だっすい	dassui
茂る	しげる	shigeru
再販	さいはん	saihann
富豪	ふごう	fugou
押印	おういん	ouinn
突っ走る	つっぱしる	tsuppashiru
微小	びしょう	bishou
隠れる	かくれる	kakureru
新鋭	しんえい	shinnei
兼用	けんよう	kennyou
即売	そくばい	sokubai
手渡す	てわたす	tewatasu
切り抜き	きりぬき	kirinuki
防波堤	ぼうはてい	bouhatei
繰り出す	くりだす	kuridasu
噴射	ふんしゃ	funnsha
即死	そくし	sokushi
床屋	とこや	tokoya
油脂	ゆし	yushi
騒がせる	さわがせる	sawagaseru
鳴り響く	なりひびく	narihibiku
盆地	ぼんち	bonnchi
偉人	いじん	ijinn
不眠	ふみん	fuminn
語尾	ごび	gobi
突き出し	つきだし	tsukidashi
交替	こうたい	koutai
瞬く	しばたく|しばたたく|またたく|まばたく	shibataku|shibatataku|matataku|mabataku
舞い上がる	まいあがる	maiagaru
盗み	ぬすみ	nusumi
組み込み	くみこみ	kumikomi
稲作	いなさく	inasaku
歳時記	さいじき	saijiki
差し替え	さしかえ	sashikae
追撃	ついげき	tsuigeki
突き刺さる	つきささる	tsukisasaru
出遅れ	でおくれ|でおくれれ	deokure|deokurere
端的	たんてき	tannteki
彩色	さいしき|さいしょく	saishiki|saishoku
抵当	ていとう	teitou
浮かれる	うかれる	ukareru
執念	しゅうねん|しゅうね	shuunenn|shuune
侵す	おかす	okasu
拍車	はくしゃ	hakusha
御用達	ごようたし|ごようたつ	goyoutashi|goyoutatsu
木陰	こかげ	kokage
結露	けつろ	ketsuro
溶剤	ようざい	youzai
決闘	けっとう	kettou
吹き替え	ふきかえ	fukikae
被せる	かぶせる	kabuseru
儀礼	ぎれい	girei
払込	はらいこみ|はらいこめ	haraikomi|haraikome
白髪染め	しらがぞめ	shiragazome
入れ替わり	いれかわり	irekawari
引き抜く	ひきぬく	hikinuku
微分	びぶん	bibunn
鉄塔	てっとう	tettou
敷設	ふせつ	fusetsu
注釈	ちゅうしゃく	tyuushaku
越冬	えっとう	ettou
砲撃	ほうげき	hougeki
素泊まり	すどまり	sudomari
弾き語り	ひきがたり	hikigatari
仰向け	あおむけ	aomuke
乾き	かわき|がわき	kawaki|gawaki
仰天	ぎょうてん	gyoutenn
描き出す	えがきだす	egakidasu
暗黙	あんもく	annmoku
取扱う	とりあつかう|とりあつこう	toriatsukau|toriatsukou
押し出し	おしだし	oshidashi
供与	きょうよ	kyouyo
噴く	ふく	fuku
備蓄	びちく	bichiku
鳥獣	ちょうじゅう|とりけだもの	tyoujuu|torikedamono
惨め	みじめ	mijime
踏み入る	ふみいる	fumiiru
端数	はすう	hasuu
抜歯	ばっし	basshi
広範	こうはん	kouhann
熱烈	ねつれつ	netsuretsu
堅調	けんちょう	kenntyou
遅ればせながら	おくればせながら	okurebasenagara
優越	ゆうえつ	yuuetsu
精鋭	せいえい	seiei
恐る恐る	おそるおそる	osoruosoru
吹き飛ぶ	ふきとぶ	fukitobu
投げ込む	なげこむ	nagekomu
堅実	けんじつ	kennjitsu
耐火	たいか	taika
世襲	せしゅう	seshuu
吐息	といき	toiki
稲刈り	いねかり	inekari
水滴	すいてき	suiteki
遅らせる	おくらせる	okuraseru
詰める	つめる|づめる	tsumeru|dumeru
繰り出し	くりだし	kuridashi
資金繰り	しきんぐり	shikinnguri
襲いかかる	おそいかかる	osoikakaru
車載	しゃさい	shasai
沈下	ちんか	chinnka
切り込む	きりこむ	kirikomu
お座敷	おざしき	ozashiki
離陸	りりく	ririku
引き継ぎ	ひきつぎ	hikitsugi
心拍	しんぱく	shinnpaku
打倒	だとう	datou
駆け引き	かけひき	kakehiki
占星術	せんせいじゅつ	sennseijutsu
追い越し	おいこし	oikoshi
感嘆	かんたん	kanntann
語り継ぐ	かたりつぐ	kataritsugu
溶ける	とける	tokeru
手遅れ	ておくれ	teokure
徴兵	ちょうへい	tyouhei
更正	こうせい	kousei
縁側	えんがわ	enngawa
固執	こしつ|こしゅう	koshitsu|koshuu
繰る	くる|ぐる	kuru|guru
色濃い	いろこい	irokoi
大忙し	おおいそがし	ooisogashi
気遣う	きづかう|きずこう	kidukau|kizukou
振舞う	ふるまう|ふるもう	furumau|furumou
乱舞	らんぶ|らっぷ	rannbu|rappu
甘酸っぱい	あまずっぱい	amazuppai
冷え込む	ひえこむ	hiekomu
貴殿	きでん	kidenn
追い込み	おいこみ	oikomi
汗だく	あせだく	asedaku
軒並み	のきなみ	nokinami
汚職	おしょく	oshoku
読み替える	よみかえる	yomikaeru
微粒子	びりゅうし	biryuushi
脱帽	だつぼう	datsubou
傷跡	きずあと	kizuato
奇麗	きれい|ぎれい	kirei|girei
劣等	れっとう	rettou
幾分	いくぶん	ikubunn
冷え込み	ひえこみ	hiekomi
考え込む	かんがえこむ	kanngaekomu
互角	ごかく	gokaku
空振り	からぶり	karaburi
円盤	えんばん	ennbann
腕前	うでまえ	udemae
執り行う	とりおこなう|とりおこのう	toriokonau|toriokonou
触れ合う	ふれあう|ふれおう	fureau|fureou
親御	おやご	oyago
奇襲	きしゅう	kishuu
着払い	ちゃくばらい	tyakubarai
抵触	ていしょく	teishoku
腐れ	くされ|ぐされ|くたれ	kusare|gusare|kutare
手腕	しゅわん	shuwann
脱皮	だっぴ	dappi
搬出	はんしゅつ	hannshutsu
切り離し	きりはなし	kirihanashi
刺客	しかく|しきゃく|せっかく	shikaku|shikyaku|sekkaku
振り切る	ふりきる	furikiru
敬称	けいしょう	keishou
縁結び	えんむすび	ennmusubi
不詳	ふしょう	fushou
冬眠	とうみん	touminn
勝ち越し	かちこし	kachikoshi
公序良俗	こうじょりょうぞく	koujoryouzoku
爆音	ばくおん	bakuonn
頼める	たのめる	tanomeru
魚雷	ぎょらい	gyorai
生鮮	せいせん	seisenn
城壁	じょうへき	jouheki
詰合せ	つめあわせ	tsumeawase
汚水	おすい	osui
絡み合う	からみあう|からみおう	karamiau|karamiou
人為	じんい	jinni
素振り	そぶり|すぶり	soburi|suburi
違憲	いけん	ikenn
頼れる	たよれる	tayoreru
執る	とる|どる	toru|doru
直販	ちょくはん	tyokuhann
端っこ	はしっこ|はじっこ	hashikko|hajikko
老齢	ろうれい	rourei
下敷き	したじき	shitajiki
一躍	いちやく	ichiyaku
振り込める	ふりこめる	furikomeru
物販	ぶっぱん	buppann
坊ちゃん	ぼっちゃん	bottyann
拝殿	はいでん	haidenn
里芋	さといも	satoimo
甘やかす	あまやかす	amayakasu
弾道	だんどう	danndou
左端	ひだりはし|さたん	hidarihashi|satann
逃げ切る	にげきる	nigekiru
援軍	えんぐん	enngunn
砂丘	さきゅう|しゃきゅう	sakyuu|shakyuu
召集	しょうしゅう	shoushuu
継ぎ	つぎ	tsugi
積載	せきさい	sekisai
寝起き	ねおき	neoki
祝儀	しゅうぎ|しゅくぎ	shuugi|shukugi
与野党	よやとう	yoyatou
思い描く	おもいえがく	omoiegaku
輝かしい	かがやかしい	kagayakashii
目隠し	めかくし	mekakushi
兼任	けんにん	kennninn
隣国	りんごく	rinngoku
雑煮	ぞうに	zouni
寝床	ねどこ	nedoko
短絡	たんらく	tannraku
引き離す	ひきはなす	hikihanasu
震わせる	ふるわせる	furuwaseru
引っ越す	ひっこす	hikkosu
剣術	けんじゅつ	kennjutsu
婚礼	こんれい	konnrei
意気込む	いきごむ	ikigomu
寝込む	ねこむ	nekomu
沈着	ちんちゃく	chinntyaku
取替える	とりかえる	torikaeru
手触り	てざわり	tezawari
縁日	えんにち	ennnichi
突き抜ける	つきぬける	tsukinukeru
目白押し	めじろおし	mejirooshi
敷き詰める	しきつめる	shikitsumeru
草刈り	くさかり	kusakari
進撃	しんげき	shinngeki
振る舞う	ふるまう|ふるもう	furumau|furumou
本稿	ほんこう	honnkou
近距離	きんきょり	kinnkyori
巨木	きょぼく	kyoboku
叫び声	さけびごえ	sakebigoe
池沼	ちしょう	chishou
麗しい	うるわしい	uruwashii
称え	となえ|たたえ|かなえ	tonae|tatae|kanae
問い詰める	といつめる	toitsumeru
煮付け	につけ	nitsuke
寝返り	ねがえり	negaeri
弾み	はずみ	hazumi
追い払う	おいはらう|おいはろう	oiharau|oiharou
戒め	いましめ	imashime
振り付け	ふりつけ	furitsuke
撃てる	うてる	uteru
暇人	ひまじん	himajinn
即刻	そっこく	sokkoku
鈍感	どんかん	donnkann
小紋	こもん	komonn
溶く	とく	toku
更かす	ふかす	fukasu
駆け込み	かけこみ	kakekomi
押入る	おしいる	oshiiru
線維	せんい	senni
豪族	ごうぞく	gouzoku
威圧	いあつ	iatsu
涙す	なみだす	namidasu
彼女ら	かのじょら	kanojora
寝言	ねごと	negoto
復縁	ふくえん	fukuenn
坊や	ぼうや	bouya
図柄	ずがら	zugara
更衣	こうい|ころもがえ	koui|koromogae
振り分け	ふりわけ	furiwake
傍観	ぼうかん	boukann
染み込む	しみこむ	shimikomu
小惑星	しょうわくせい	shouwakusei
逃げ込む	にげこむ	nigekomu
甘口	あまくち	amakuchi
見え隠れ	みえかくれ|みえがくれ	miekakure|miegakure
難儀	なんぎ	nanngi
威張る	いばる|えばる	ibaru|ebaru
折り畳む	おりたたむ	oritatamu
食いしん坊	くいしんぼう|くいしんぼ	kuishinnbou|kuishinnbo
栄誉	えいよ	eiyo
甘酒	あまざけ	amazake
手描き	てがき	tegaki
障壁	しょうへき	shouheki
送り込む	おくりこむ	okurikomu
乗り継ぐ	のりつぐ	noritsugu
薄切り	うすぎり	usugiri
役柄	やくがら	yakugara
普段着	ふだんぎ	fudanngi
咲き乱れる	さきみだれる	sakimidareru
追突	ついとつ	tsuitotsu
侵食	しんしょく	shinnshoku
浮き上がる	うきあがる	ukiagaru
被疑	ひぎ	higi
急斜面	きゅうしゃめん	kyuushamenn
落雷	らくらい	rakurai
血縁	けつえん	ketsuenn
踏襲	とうしゅう	toushuu
心遣い	こころづかい	kokorodukai
威厳	いげん	igenn
突き放す	つきはなす	tsukihanasu
駆け込む	かけこむ	kakekomu
奥歯	おくば	okuba
冷や汗	ひやあせ	hiyaase
水稲	すいとう	suitou
足腰	あしこし	ashikoshi
燃え尽きる	もえつきる	moetsukiru
悩ましい	なやましい	nayamashii
割り込み	わりこみ	warikomi
眠たい	ねむたい|ねぶたい	nemutai|nebutai
箇条	かじょう	kajou
抗原	こうげん	kougenn
凶暴	きょうぼう	kyoubou
鈍る	なまる|にぶる	namaru|niburu
すり抜ける	すりぬける	surinukeru
死闘	しとう	shitou
片っ端	かたっぱし	katappashi
突き刺す	つきさす	tsukisasu
時代遅れ	じだいおくれ	jidaiokure
入れ替える	いれかえる	irekaeru
恥ずかしながら	はずかしながら	hazukashinagara
奥底	おくそこ	okusoko
到る	いたる	itaru
追い抜く	おいぬく	oinuku
盛り沢山	もりだくさん	moridakusann
水溶	すいよう	suiyou
押し切る	おしきる	oshikiru
仰せ	おおせ	oose
脱がす	ぬがす	nugasu
折込	おりこみ|おりこめ	orikomi|orikome
凶器	きょうき	kyouki
刺青	いれずみ|しせい	irezumi|shisei
駆け出し	かけだし	kakedashi
抱き合う	だきあう|だきおう	dakiau|dakiou
一人称	いちにんしょう	ichininnshou
鑑みる	かんがみる	kanngamiru
大奥	おおおく	oooku
前倒し	まえだおし	maedaoshi
寝ぼけ	ねぼけ	neboke
招致	しょうち	shouchi
陣痛	じんつう	jinntsuu
繁忙	はんぼう	hannbou
内需	ないじゅ	naiju
服飾	ふくしょく	fukushoku
着脱	ちゃくだつ	tyakudatsu
小粒	こつぶ	kotsubu
切り離す	きりはなす	kirihanasu
気迫	きはく	kihaku
誇張	こちょう	kotyou
防腐	ぼうふ	boufu
作為	さくい	sakui
空爆	くうばく	kuubaku
惨事	さんじ	sannji
猛毒	もうどく	moudoku
舌鼓	したつづみ	shitatsudumi
二の腕	にのうで	ninoude
大御所	おおごしょ	oogosho
勝ち抜く	かちぬく	kachinuku
注ぎ込む	そそぎこむ|つぎこむ	sosogikomu|tsugikomu
演舞	えんぶ	ennbu
同姓	どうせい	dousei
抱え込む	かかえこむ	kakaekomu
即席	そくせき	sokuseki
行儀	ぎょうぎ	gyougi
引継ぎ	ひきつぎ	hikitsugi
誇れる	ほこれる	hokoreru
額縁	がくぶち	gakubuchi
拠る	よる	yoru
煮詰める	につめる	nitsumeru
力尽きる	ちからつきる	chikaratsukiru
攻め込む	せめこむ	semekomu
滴る	したたる	shitataru
元凶	げんきょう	gennkyou
雷雨	らいう	raiu
療育	りょういく	ryouiku
巡視	じゅんし	junnshi
捕食	ほしょく	hoshoku
刀剣	とうけん	toukenn
添う	そう|ぞう	sou|zou
形跡	けいせき	keiseki
芽吹く	めぶく	mebuku
絡まる	からまる	karamaru
奇形	きけい	kikei
販路	はんろ	hannro
盗作	とうさく	tousaku
水溶液	すいようえき	suiyoueki
未払い	みはらい	miharai
押し上げ	おしあげ	oshiage
抜け出せる	ぬけだせる	nukedaseru
使途	しと	shito
襲来	しゅうらい	shuurai
受け渡し	うけわたし	ukewatashi
威勢	いせい	isei
触発	しょくはつ	shokuhatsu
恐く	きょうく|こわく	kyouku|kowaku
造影	ぞうえい	zouei
悪戦苦闘	あくせんくとう	akusennkutou
乾電池	かんでんち	kanndennchi
発汗	はっかん	hakkann
吹ける	ふける	fukeru
一滴	いってき	itteki
希釈	きしゃく	kishaku
模様替え	もようがえ	moyougae
踏み切り	ふみきり	fumikiri
中継ぎ	なかつぎ	nakatsugi
ひき逃げ	ひきにげ	hikinige
報道陣	ほうどうじん	houdoujinn
恋心	こいごころ	koigokoro
偉業	いぎょう	igyou
張り替える	はりかえる	harikaeru
気兼ね	きがね	kigane
最南端	さいなんたん	sainanntann
弾薬	だんやく	dannyaku
凡例	はんれい	hannrei
陰性	いんせい	innsei
輝度	きど	kido
修飾	しゅうしょく	shuushoku
狩場	かりば	kariba
短距離	たんきょり	tannkyori
押し倒す	おしたおす	oshitaosu
共闘	きょうとう	kyoutou
流し込む	ながしこむ	nagashikomu
お陰様	おかげさま	okagesama
金網	かなあみ	kanaami
執務	しつむ	shitsumu
持ち越し	もちこし	mochikoshi
寝顔	ねがお	negao
柔術	じゅうじゅつ	juujutsu
濁す	にごす	nigosu
押しかける	おしかける	oshikakeru
生い茂る	おいしげる	oishigeru
薄手	うすで	usude
付き添い	つきそい	tsukisoi
脚光	きゃっこう	kyakkou
響かせる	ひびかせる	hibikaseru
余暇	よか	yoka
握りしめる	にぎりしめる	nigirishimeru
掘り出し物	ほりだしもの	horidashimono
五十肩	ごじゅうかた	gojuukata
幾多	いくた	ikuta
突き上げる	つきあげる	tsukiageru
流儀	りゅうぎ	ryuugi
帰途	きと	kito
お辞儀	おじぎ	ojigi
潮干狩り	しおひがり	shiohigari
白濁	はくだく	hakudaku
張替え	はりかえ	harikae
監事	かんじ	kannji
汚物	おぶつ	obutsu
渡米	とべい	tobei
散髪	さんぱつ	sannpatsu
幅広	はばひろ|はばびろ	habahiro|hababiro
分割払い	ぶんかつばらい	bunnkatsubarai
布陣	ふじん	fujinn
濃密	のうみつ	noumitsu
緯度	いど	ido
脱す	だっす	dassu
食い込む	くいこむ	kuikomu
触れ合い	ふれあい	fureai
耐用	たいよう	taiyou
吹き荒れる	ふきあれる	fukiareru
退陣	たいじん	taijinn
見越し	みこし	mikoshi
吹き付ける	ふきつける	fukitsukeru
先払い	さきばらい	sakibarai
狂人	きょうじん	kyoujinn
押収	おうしゅう	oushuu
替り	かわり|がわり	kawari|gawari
乗り遅れ	のりおくれ	noriokure
南端	なんたん	nanntann
離党	りとう	ritou
振り上げる	ふりあげる	furiageru
見込	みこみ	mikomi
我輩	わがはい	wagahai
押さえつける	おさえつける	osaetsukeru
不可抗力	ふかこうりょく	fukakouryoku
陣地	じんち	jinnchi
前途	ぜんと	zennto
つぎ込む	つぎこむ	tsugikomu
泊める	とめる	tomeru
賦課	ふか	fuka
独り占め	ひとりじめ	hitorijime
優劣	ゆうれつ	yuuretsu
引っ込む	ひっこむ	hikkomu
鑑別	かんべつ	kannbetsu
透かし	すかし	sukashi
陣取る	じんどる	jinndoru
渡船	とせん	tosenn
薄っぺら	うすっぺら	usuppera
忘却	ぼうきゃく	boukyaku
香味	こうみ	koumi
赤帽	あかぼう	akabou
突き止める	つきとめる	tsukitomeru
堅持	けんじ	kennji
衣替え	ころもがえ	koromogae
透視	とうし	toushi
ぶち壊す	ぶちこわす	buchikowasu
乱闘	らんとう	ranntou
兼務	けんむ	kennmu
背丈	せたけ	setake
浮かせる	うかせる	ukaseru
罰する	ばっする	bassuru
沈殿	ちんでん	chinndenn
場違い	ばちがい	bachigai
押し出す	おしだす	oshidasu
振り払う	ふりはらう|ふりはろう	furiharau|furiharou
圏外	けんがい	kenngai
見詰める	みつめる	mitsumeru
御大	おんたい	onntai
掘り出し	ほりだし	horidashi
物騒	ぶっそう	bussou
皆殺し	みなごろし	minagoroshi
干拓	かんたく	kanntaku
即答	そくとう	sokutou
却って	かえって	kaette
脱字	だつじ	datsuji
継手	つぎて	tsugite
畳む	たたむ|だたむ	tatamu|datamu
傍点	ぼうてん	boutenn
汚す	けがす|よごす	kegasu|yogosu
共振	きょうしん	kyoushinn
